line_no,work_shift,worker_years,work_min,temp_c,humid_percent,gauge_a,gauge_b,gauge_c,is_defect
1호기,낮,15,34.1,20.3,45.4,79.20,165.54,51.02,0
2호기,밤,5,32.4,23.2,64.4,114.92,194.03,55.68,0
2호기,밤,16,23.8,25.9,44.3,98.82,199.53,48.61,0
3호기,밤,5,28.9,24.1,51.7,99.53,202.87,46.18,0
3호기,밤,6,30.8,24.6,61.7,99.55,214.43,50.14,0
2호기,밤,14,27.1,23.4,43.7,107.84,179.50,50.01,0
2호기,밤,15,29.1,26.1,38.0,107.00,237.89,52.90,0
1호기,밤,8,24.3,25.4,31.5,101.63,197.54,47.23,0
3호기,밤,16,33.2,18.7,42.9,102.42,198.19,45.91,0
2호기,낮,7,34.6,21.4,59.3,90.69,156.34,57.88,0
3호기,낮,2,22.2,25.6,58.1,97.19,184.29,58.48,0
3호기,밤,,24.9,21.5,55.7,92.21,205.75,42.79,0
1호기,낮,6,22.7,24.4,39.0,89.22,214.66,49.87,0
2호기,밤,,28.1,27.9,52.2,100.81,214.08,46.84,0
3호기,밤,13,29.3,24.2,48.1,109.17,216.43,53.22,0
2호기,밤,4,27.6,27.0,54.9,103.89,196.52,47.15,0
2호기,낮,11,29.0,23.2,41.5,89.00,223.21,47.55,0
2호기,낮,4,38.5,22.8,52.6,105.18,201.02,46.68,0
1호기,낮,,35.0,22.6,41.1,96.10,184.38,48.81,0
3호기,낮,16,26.3,28.9,61.4,95.11,199.54,60.84,0
1호기,낮,6,33.2,29.3,54.2,96.42,166.12,59.09,0
1호기,밤,6,28.9,21.5,38.5,99.20,230.19,50.86,0
1호기,밤,6,36.2,27.4,39.8,105.93,214.67,47.92,0
1호기,낮,12,32.6,27.3,26.0,84.59,192.69,57.43,0
2호기,밤,1,25.0,24.5,55.0,101.28,203.67,51.79,0
1호기,밤,4,23.5,26.2,47.5,99.63,176.75,56.74,0
3호기,낮,12,20.0,25.3,64.7,106.46,199.31,44.81,0
1호기,밤,6,30.8,25.8,43.4,105.88,198.61,60.42,0
3호기,밤,15,32.0,23.7,40.1,109.54,217.04,48.66,0
3호기,밤,13,34.3,26.3,35.1,99.55,189.69,57.66,0
2호기,밤,6,31.8,22.3,70.7,90.67,209.53,46.22,0
3호기,낮,5,20.2,26.1,36.5,67.73,229.83,50.80,0
3호기,밤,3,33.7,24.0,44.3,103.17,191.58,51.58,0
1호기,낮,16,32.0,24.2,48.4,117.39,184.57,48.87,0
3호기,밤,8,37.4,28.9,43.3,98.00,197.04,45.41,0
1호기,낮,5,37.1,27.4,57.6,99.81,198.58,51.19,0
2호기,낮,2,27.1,23.2,54.3,105.18,217.30,57.93,0
1호기,낮,5,19.3,26.3,47.6,111.80,232.61,54.17,0
3호기,낮,16,22.6,30.5,42.5,90.94,203.59,43.87,0
2호기,밤,11,38.1,26.0,54.1,102.71,220.50,46.29,0
1호기,밤,16,36.6,24.7,47.2,101.54,176.35,43.67,0
3호기,밤,7,31.7,22.2,54.9,87.91,193.30,52.12,0
3호기,밤,2,33.0,25.0,55.8,90.33,195.03,49.33,0
3호기,낮,6,29.0,26.1,45.3,101.25,151.13,52.42,0
1호기,낮,2,28.5,23.4,63.0,101.40,190.06,46.61,0
1호기,밤,6,25.6,20.4,46.9,122.52,183.40,39.17,0
1호기,낮,0,34.2,30.2,32.9,97.57,197.36,40.66,0
1호기,낮,10,23.1,28.6,52.8,100.40,223.51,49.65,0
3호기,낮,1,32.0,15.1,54.3,99.22,181.88,62.82,0
1호기,낮,9,32.4,25.6,54.6,110.39,203.14,53.38,0
3호기,낮,10,33.4,26.7,60.4,109.66,194.77,52.10,0
1호기,밤,7,32.0,31.2,48.1,88.25,177.51,57.29,0
3호기,밤,14,27.7,22.6,51.2,101.03,159.28,50.52,0
2호기,낮,2,30.2,25.1,51.1,107.15,192.03,41.74,0
2호기,낮,13,33.0,27.2,52.0,108.53,193.42,53.12,0
2호기,낮,3,31.2,24.9,47.4,77.43,217.38,57.76,0
3호기,낮,8,34.5,24.8,43.0,109.23,202.03,61.63,0
3호기,밤,11,31.7,20.6,49.1,81.71,181.25,47.29,0
2호기,밤,8,,22.6,46.6,92.78,187.45,55.11,0
1호기,밤,12,27.9,19.7,45.8,103.24,189.23,50.71,0
1호기,낮,10,32.0,26.3,44.0,91.81,194.00,56.81,0
1호기,밤,2,29.4,24.7,45.7,88.10,207.11,47.62,0
2호기,밤,,22.0,29.0,45.6,99.53,169.08,51.35,0
3호기,낮,9,37.3,24.8,48.4,111.37,187.18,51.49,0
2호기,밤,13,31.5,25.3,38.0,96.62,188.87,50.95,0
2호기,낮,7,31.8,29.8,65.1,100.30,198.91,49.95,0
1호기,밤,4,27.3,27.2,43.4,96.30,205.04,47.40,0
2호기,밤,8,,22.5,58.2,96.59,179.53,52.90,0
2호기,밤,10,31.6,23.5,42.7,100.27,165.79,58.49,0
2호기,낮,5,34.9,22.8,52.3,112.55,207.22,50.61,0
2호기,낮,12,26.8,25.0,62.7,91.02,216.88,57.54,0
1호기,낮,12,36.6,27.0,53.5,109.98,205.06,44.73,0
1호기,낮,8,33.1,29.9,38.8,87.32,215.60,46.88,0
1호기,낮,4,28.5,22.2,61.6,96.80,200.49,55.15,0
3호기,낮,7,29.9,28.2,41.3,98.53,205.02,58.36,0
3호기,낮,8,31.9,24.0,58.5,96.53,195.37,54.09,0
3호기,낮,10,20.4,29.2,41.2,105.80,197.89,49.80,0
3호기,밤,10,34.8,22.3,58.5,101.88,208.44,56.90,0
3호기,낮,0,24.5,26.6,32.4,87.72,204.17,48.17,0
3호기,밤,7,27.2,23.7,36.3,97.32,240.48,42.13,0
2호기,밤,13,37.5,24.1,45.3,97.33,204.98,52.34,0
1호기,낮,8,,21.5,61.2,97.23,179.91,45.09,0
2호기,밤,14,25.6,19.4,40.8,113.71,182.79,54.64,0
1호기,밤,7,31.5,23.9,30.9,106.86,209.09,56.14,0
3호기,낮,1,21.2,27.9,38.6,103.17,184.24,39.46,0
2호기,밤,13,46.1,25.0,57.2,108.77,181.18,60.78,0
2호기,낮,8,39.2,25.5,46.5,106.46,248.93,45.19,0
3호기,밤,4,30.1,25.1,53.4,100.36,208.98,50.96,0
3호기,낮,10,23.1,23.7,56.7,103.59,162.56,50.12,0
2호기,밤,15,20.6,26.2,48.3,94.63,196.94,52.78,0
1호기,밤,16,35.4,21.4,54.3,110.12,212.01,46.26,0
2호기,낮,7,34.7,26.3,50.4,115.96,186.08,43.52,0
1호기,낮,4,31.2,24.8,52.0,92.44,210.72,50.09,0
1호기,낮,2,24.7,26.2,33.3,94.21,210.74,54.78,0
2호기,밤,16,26.1,26.4,45.7,106.75,209.14,56.72,0
1호기,밤,10,22.4,26.6,55.8,105.32,215.11,47.11,0
2호기,낮,6,23.1,20.8,43.1,91.65,190.24,52.06,0
2호기,낮,5,26.7,22.6,43.4,105.23,209.87,42.81,0
3호기,밤,14,,25.2,46.5,108.62,171.39,43.34,0
1호기,밤,15,32.1,26.9,46.4,99.01,191.51,48.25,0
1호기,밤,6,28.6,21.4,31.1,88.42,200.57,50.35,0
2호기,밤,16,37.5,24.6,57.8,119.61,210.80,47.25,0
1호기,낮,0,27.7,21.7,60.9,99.73,207.74,47.96,0
2호기,밤,13,30.6,28.0,52.4,120.33,191.43,36.07,0
1호기,밤,16,31.6,21.6,60.7,94.67,197.76,53.05,0
2호기,낮,,37.5,18.6,37.7,130.66,191.12,47.47,0
1호기,밤,,26.4,22.5,36.0,93.96,195.63,57.51,0
2호기,낮,3,26.4,19.8,63.2,80.12,206.37,47.82,0
2호기,낮,12,28.3,20.0,40.8,100.05,165.17,53.98,0
2호기,낮,0,31.6,30.2,46.1,97.46,200.71,48.39,0
1호기,밤,15,33.5,22.2,60.2,96.61,239.34,50.57,0
2호기,밤,,28.4,26.3,73.9,98.22,192.05,47.69,0
1호기,낮,5,34.3,29.4,54.6,109.71,205.82,53.75,0
2호기,낮,8,31.7,22.8,57.5,107.99,224.27,57.86,0
1호기,낮,0,30.2,26.4,49.1,80.80,198.26,45.42,0
3호기,밤,3,28.3,23.3,57.8,94.83,193.91,52.20,0
2호기,낮,7,28.7,26.3,47.1,103.06,209.88,54.76,0
3호기,낮,7,26.9,25.1,54.5,106.25,182.87,45.06,0
1호기,낮,3,31.9,27.1,31.9,108.88,226.99,49.97,0
3호기,밤,11,27.9,19.8,47.0,88.65,193.68,40.95,0
1호기,밤,12,27.5,27.1,44.8,96.24,193.41,54.78,0
2호기,낮,3,38.2,27.7,64.2,111.52,207.27,50.48,0
1호기,낮,13,35.0,22.1,48.0,97.04,175.51,57.24,0
3호기,낮,11,34.2,26.2,58.5,101.41,196.82,48.01,0
1호기,낮,8,24.7,23.1,50.8,103.86,173.03,47.44,0
1호기,낮,11,31.6,23.9,38.6,95.42,213.65,49.77,0
1호기,낮,0,17.5,21.8,55.2,100.96,214.91,50.69,0
3호기,낮,11,27.5,24.8,55.3,83.88,202.60,55.22,0
3호기,낮,6,22.9,24.8,56.5,94.74,198.08,49.62,0
2호기,낮,9,23.9,24.6,49.9,108.19,223.37,50.10,0
1호기,낮,13,32.2,25.9,43.5,95.71,188.23,44.93,0
3호기,밤,8,28.1,25.6,42.8,99.06,228.34,55.74,0
3호기,밤,10,30.4,24.1,61.6,87.26,205.04,60.18,0
1호기,낮,9,31.7,24.6,61.8,94.25,203.85,49.67,0
2호기,낮,9,25.0,24.6,45.1,114.59,199.00,43.14,0
2호기,밤,12,27.3,29.5,65.6,99.33,219.30,46.26,0
3호기,낮,0,40.2,28.1,38.0,99.23,185.25,52.60,0
3호기,낮,15,36.7,22.4,40.3,104.87,195.32,46.85,0
3호기,밤,11,31.9,24.1,47.8,106.24,204.32,51.80,0
2호기,밤,4,25.8,22.6,64.4,99.84,194.87,52.53,0
1호기,낮,13,23.0,25.9,65.8,88.69,157.16,46.55,0
3호기,낮,11,26.8,24.2,17.9,83.57,211.80,46.86,0
3호기,밤,4,27.2,23.9,46.6,95.04,182.15,56.90,0
1호기,낮,,26.1,32.6,58.4,86.09,203.23,58.59,0
1호기,낮,7,38.5,24.0,65.2,106.87,170.82,40.77,0
1호기,밤,2,34.5,23.9,49.8,101.05,186.86,49.55,0
3호기,밤,13,33.3,27.3,79.2,113.14,217.42,52.80,0
2호기,낮,11,26.0,26.4,50.2,97.98,179.08,48.58,0
2호기,낮,13,23.2,27.4,49.1,112.61,233.53,52.44,0
1호기,낮,11,32.6,24.1,44.7,101.52,243.74,46.09,0
2호기,밤,12,26.0,12.8,59.4,93.42,168.35,54.59,0
2호기,낮,2,32.9,20.3,63.7,102.32,211.18,55.83,0
1호기,밤,0,33.3,26.1,53.9,96.71,202.19,49.95,0
3호기,낮,5,28.9,24.1,49.5,100.01,191.74,46.91,0
2호기,밤,6,29.1,25.6,40.8,100.71,201.50,45.71,0
2호기,밤,0,27.2,22.6,43.9,120.28,172.92,39.30,0
2호기,밤,13,24.8,25.1,56.7,103.48,210.11,42.70,0
1호기,밤,10,36.1,20.7,43.1,91.46,206.23,51.06,0
3호기,밤,11,23.9,24.1,41.0,107.19,228.16,47.14,0
3호기,밤,0,28.7,27.0,62.6,101.45,179.48,54.66,0
3호기,밤,12,,21.8,51.2,101.13,202.23,45.36,0
1호기,밤,6,26.4,30.7,58.1,84.78,161.61,46.03,0
2호기,낮,15,31.3,24.3,56.4,75.19,206.41,48.99,0
1호기,낮,14,,28.2,50.3,98.53,141.72,53.31,0
1호기,낮,16,30.7,28.3,58.3,88.37,154.85,47.18,0
3호기,낮,0,23.9,24.9,23.2,99.09,188.33,54.74,0
1호기,밤,0,29.5,24.8,37.5,81.61,175.90,50.75,0
1호기,밤,0,23.4,27.3,50.5,92.86,173.90,55.03,0
3호기,밤,7,29.9,22.8,52.2,93.92,193.06,52.64,0
1호기,밤,15,28.8,24.2,32.2,83.63,205.19,43.49,0
1호기,밤,0,34.9,24.4,43.6,98.44,205.78,55.25,0
2호기,낮,3,27.4,22.1,57.1,103.89,215.55,49.07,0
1호기,낮,15,31.0,20.4,51.0,86.81,218.57,47.80,0
3호기,밤,12,22.1,26.5,61.0,86.51,200.23,54.04,0
2호기,밤,1,32.0,17.3,46.1,97.51,187.48,54.97,0
2호기,밤,8,31.0,22.7,56.7,96.79,202.81,59.49,0
3호기,낮,9,25.4,24.3,65.2,108.62,230.63,48.27,0
3호기,낮,15,21.0,25.6,47.4,110.97,190.61,55.53,0
3호기,밤,5,29.5,23.9,63.7,87.74,177.48,49.94,0
1호기,낮,3,33.8,23.9,68.9,102.75,166.30,47.80,0
1호기,낮,13,23.9,29.9,34.8,111.03,174.10,47.39,0
3호기,밤,11,28.1,21.1,38.2,112.93,191.93,46.73,0
1호기,낮,4,27.6,22.7,67.1,106.72,183.67,43.66,0
1호기,낮,,33.8,23.4,56.4,105.10,170.55,55.74,0
1호기,낮,3,29.0,24.7,63.4,82.00,210.86,51.35,0
1호기,낮,5,30.3,30.5,48.1,98.35,209.28,45.81,0
1호기,낮,8,36.4,29.3,54.6,103.55,213.46,60.07,0
1호기,낮,12,22.0,27.9,49.8,97.69,185.43,47.12,0
3호기,밤,8,31.2,27.3,47.5,94.28,202.99,51.58,0
1호기,낮,2,26.9,29.0,45.7,104.80,242.79,43.12,0
2호기,밤,11,23.0,19.6,44.2,84.45,196.30,51.41,0
1호기,낮,15,36.6,23.5,50.4,113.57,218.08,51.26,0
1호기,밤,6,31.2,23.1,64.4,96.02,204.94,43.12,0
1호기,밤,11,,24.5,34.8,105.66,189.37,58.42,0
3호기,낮,2,27.2,23.9,34.5,90.32,175.63,54.63,0
1호기,밤,3,23.3,26.7,40.2,108.66,185.91,44.32,0
1호기,밤,13,41.3,19.8,42.0,103.76,162.21,48.62,0
3호기,낮,11,19.5,19.0,25.5,95.45,227.31,49.29,0
2호기,밤,11,21.5,25.9,49.5,104.37,184.99,48.64,0
1호기,낮,16,30.9,23.2,57.5,105.67,196.70,54.47,0
3호기,밤,13,34.0,27.6,64.5,104.43,200.63,55.94,0
3호기,낮,12,34.6,27.9,62.3,117.69,196.42,52.24,0
3호기,낮,9,33.4,20.9,47.1,99.74,181.15,58.28,0
1호기,낮,11,27.4,24.3,56.0,89.65,227.80,53.30,0
1호기,낮,12,29.6,24.0,62.2,103.75,192.43,52.41,0
1호기,낮,15,32.8,23.4,53.5,101.50,232.98,45.67,0
2호기,밤,5,28.4,23.6,47.1,109.87,177.11,45.56,0
2호기,밤,13,31.4,26.7,50.7,93.97,202.63,46.73,0
1호기,낮,5,31.7,25.8,58.6,103.11,192.93,44.06,0
1호기,낮,4,35.1,25.7,35.3,95.55,169.84,44.92,0
2호기,밤,5,,26.8,37.1,88.09,178.39,45.46,0
1호기,밤,12,25.1,21.7,47.6,94.47,196.83,56.39,0
2호기,낮,6,20.5,24.9,36.5,98.84,191.40,47.25,0
1호기,낮,3,31.6,23.1,65.1,94.14,223.16,43.14,0
1호기,낮,14,26.5,20.4,44.2,108.36,238.69,51.27,0
1호기,낮,16,30.3,25.0,58.7,103.82,243.23,41.66,0
1호기,밤,15,30.8,29.3,61.6,100.85,166.67,49.48,0
3호기,낮,14,36.7,27.0,36.7,79.61,186.98,50.64,0
3호기,밤,,32.5,21.8,37.5,105.37,155.70,49.22,0
3호기,낮,2,34.2,28.6,54.1,89.65,206.52,47.18,0
1호기,밤,15,34.6,26.7,41.8,107.58,166.42,50.31,0
3호기,낮,11,27.9,25.6,41.7,92.60,185.42,44.25,0
3호기,밤,14,22.3,24.2,60.9,115.51,207.56,45.74,0
1호기,낮,16,28.0,22.7,39.2,89.38,194.35,42.53,0
3호기,낮,7,41.8,24.2,51.2,102.00,199.50,46.52,0
1호기,낮,12,44.2,30.5,53.6,108.47,190.58,32.84,0
1호기,밤,12,29.0,22.6,33.9,81.99,191.18,43.86,0
3호기,낮,,,24.6,34.8,101.33,214.00,42.85,0
2호기,낮,16,23.8,21.6,43.9,99.44,214.57,44.34,0
2호기,밤,5,25.2,21.6,47.2,92.59,199.42,44.32,0
3호기,밤,11,37.5,28.2,52.0,78.51,192.23,49.99,0
3호기,밤,12,25.6,27.7,46.5,110.96,180.59,46.02,0
1호기,밤,7,29.9,27.2,49.2,108.73,209.15,46.14,0
3호기,낮,2,29.8,23.5,46.4,102.20,205.96,44.99,0
2호기,낮,7,30.2,28.0,55.4,117.78,207.60,55.62,0
1호기,밤,,32.1,28.5,51.2,107.27,196.58,51.45,0
1호기,밤,7,27.2,29.6,60.5,97.74,174.15,54.13,0
3호기,밤,2,36.2,26.2,77.3,85.51,228.71,52.31,0
2호기,밤,0,28.7,26.6,46.1,90.70,214.08,44.70,0
2호기,낮,3,28.7,27.5,52.4,102.42,187.64,49.78,0
1호기,낮,1,25.6,20.0,74.1,113.99,216.97,48.75,0
3호기,낮,9,23.4,25.2,47.5,99.81,205.46,50.92,0
2호기,낮,5,32.4,17.8,57.7,74.68,173.47,57.72,0
1호기,밤,1,25.8,22.4,36.5,96.53,195.20,49.11,0
2호기,낮,11,27.5,21.4,60.9,79.78,196.11,48.64,0
3호기,밤,10,32.5,28.2,44.9,98.95,192.65,50.41,0
2호기,밤,11,27.4,24.4,41.6,96.45,196.80,49.05,0
2호기,밤,6,32.1,29.2,59.3,112.66,181.55,53.52,0
3호기,밤,5,38.8,22.9,53.7,104.03,222.40,47.71,0
2호기,밤,11,19.3,25.5,42.4,95.96,205.97,56.16,0
1호기,밤,16,26.6,21.9,46.0,104.01,189.10,47.28,0
3호기,밤,0,26.7,22.9,49.4,107.47,179.84,40.08,0
1호기,낮,9,29.7,30.0,49.3,92.53,213.78,53.97,0
2호기,낮,11,28.5,25.1,62.4,115.15,201.50,54.35,0
3호기,낮,12,32.8,20.6,43.3,85.32,196.79,46.49,0
1호기,밤,13,33.5,30.7,51.3,95.48,167.18,40.32,0
2호기,밤,4,33.0,28.4,51.6,100.63,182.29,53.86,0
3호기,밤,15,35.1,18.9,49.4,100.56,184.26,43.29,0
1호기,낮,7,26.4,21.5,46.2,98.05,165.03,42.53,0
1호기,밤,,25.8,26.0,43.3,111.58,192.44,47.99,0
3호기,밤,9,43.5,24.1,41.1,115.29,198.05,43.93,0
3호기,밤,0,25.3,22.4,60.1,113.70,213.95,53.59,0
2호기,낮,6,32.3,25.4,62.5,115.14,204.48,44.18,0
1호기,밤,10,28.4,25.7,63.2,109.56,216.33,52.94,0
1호기,낮,16,28.2,26.1,38.1,97.28,206.58,49.17,0
2호기,밤,13,24.9,25.9,51.3,87.14,212.27,48.51,0
3호기,밤,4,27.9,27.3,65.5,98.21,202.95,48.97,0
3호기,밤,12,22.7,22.5,54.4,103.91,178.95,43.87,0
1호기,낮,13,19.8,30.5,60.8,101.08,218.63,55.61,0
3호기,낮,,34.2,26.9,41.1,94.97,214.44,42.29,0
2호기,밤,16,29.0,24.2,47.8,101.22,195.55,54.71,0
1호기,낮,5,36.6,23.9,53.9,91.33,226.28,50.92,0
2호기,밤,2,31.9,23.5,38.0,100.26,155.58,40.86,0
1호기,밤,9,24.1,23.6,43.1,89.60,213.01,47.42,0
1호기,밤,16,25.3,23.4,64.6,98.28,192.81,42.59,0
3호기,밤,7,,22.9,54.3,88.65,204.94,50.89,0
1호기,낮,10,27.4,25.4,53.3,102.59,203.39,44.53,0
1호기,낮,10,30.9,32.9,56.6,105.55,194.71,56.47,0
3호기,밤,6,35.6,27.5,43.3,93.19,185.62,46.46,0
3호기,낮,15,27.5,27.7,47.0,112.06,190.31,56.17,0
3호기,낮,1,27.9,27.9,63.3,103.31,234.25,52.66,0
2호기,낮,8,33.2,29.1,61.0,88.91,188.52,53.52,0
2호기,밤,13,37.3,20.1,53.3,99.39,185.99,51.25,0
2호기,밤,5,22.8,27.2,34.4,105.51,200.28,56.58,0
1호기,밤,4,27.6,27.1,55.3,102.00,196.31,51.95,0
2호기,낮,0,31.6,26.9,54.9,90.15,225.30,59.63,0
1호기,낮,5,32.4,24.7,58.0,97.64,189.89,40.08,0
1호기,밤,16,35.0,25.4,43.2,72.76,204.70,45.33,0
1호기,밤,1,32.2,31.2,55.2,88.67,212.76,49.62,1
3호기,낮,5,30.4,26.7,57.2,101.06,183.71,61.42,0
1호기,밤,14,32.8,27.9,46.9,97.08,185.75,49.64,0
3호기,밤,8,14.0,21.6,36.1,92.47,205.38,52.52,0
1호기,밤,6,36.5,22.3,58.2,93.79,197.38,46.58,0
3호기,낮,14,28.8,24.7,61.6,98.18,157.53,50.90,0
1호기,밤,15,23.7,26.1,44.7,84.45,190.86,53.28,0
2호기,낮,5,35.1,24.7,52.9,106.68,179.49,52.61,0
1호기,낮,7,30.6,26.2,52.8,105.42,178.15,44.97,0
2호기,낮,11,,19.5,59.6,96.54,164.36,49.25,0
3호기,밤,12,33.7,27.8,46.0,102.39,188.09,41.98,0
2호기,낮,9,20.7,26.1,58.1,100.14,194.16,50.76,0
2호기,밤,14,27.5,25.5,56.6,106.09,222.11,51.25,0
3호기,밤,7,36.8,22.1,47.2,120.32,215.20,52.76,0
3호기,밤,11,30.2,24.9,55.9,103.96,205.41,50.55,0
1호기,밤,0,30.2,22.2,46.8,96.94,213.90,49.72,0
2호기,밤,3,25.0,22.3,58.7,95.77,176.21,56.94,0
1호기,낮,7,23.0,24.9,41.6,104.41,190.09,46.18,0
1호기,밤,16,36.6,31.3,70.2,103.46,238.72,58.90,0
1호기,낮,4,35.4,26.6,53.3,88.37,174.25,42.69,0
3호기,밤,12,34.3,24.7,35.6,97.18,207.88,47.80,0
3호기,낮,4,27.0,25.5,43.8,105.58,190.95,50.18,0
2호기,밤,7,25.9,25.8,54.2,121.80,192.66,52.09,0
2호기,밤,4,38.0,19.9,50.7,76.37,143.62,45.87,0
1호기,밤,15,33.6,23.3,50.4,99.81,179.22,52.70,0
2호기,낮,8,24.1,23.4,46.7,91.63,221.76,46.63,0
1호기,밤,7,29.8,22.9,58.5,106.96,206.89,49.42,0
1호기,낮,12,24.2,26.9,41.0,102.83,188.00,47.61,0
2호기,낮,16,36.8,22.4,67.2,106.38,243.16,54.79,0
2호기,낮,7,27.3,24.1,43.7,87.35,201.18,44.33,0
1호기,낮,16,33.2,22.4,43.3,98.41,196.55,42.12,0
3호기,낮,13,26.0,30.0,44.5,96.42,203.71,42.62,0
2호기,밤,9,,23.6,52.4,91.06,214.38,46.83,0
3호기,밤,10,24.4,22.0,53.1,92.79,189.26,49.33,0
3호기,밤,7,23.0,28.6,45.4,85.53,208.29,47.87,0
1호기,밤,6,35.7,25.2,44.5,104.60,212.88,58.48,0
3호기,밤,5,24.8,22.3,39.4,98.74,177.01,42.85,0
1호기,낮,11,26.6,29.2,56.4,89.20,196.97,50.20,0
3호기,밤,13,26.0,25.8,68.9,87.80,210.93,47.72,0
1호기,밤,3,38.0,23.9,50.5,106.67,227.18,56.96,0
3호기,밤,12,33.6,26.5,37.2,102.12,267.31,54.72,0
2호기,낮,16,16.2,29.7,61.8,111.45,210.60,44.76,0
1호기,밤,12,31.8,28.0,48.7,106.66,224.40,50.88,0
1호기,밤,9,26.0,24.4,36.3,87.66,194.38,59.91,0
3호기,밤,12,24.7,19.9,55.7,100.59,207.42,47.26,0
2호기,밤,1,34.7,17.4,37.6,93.63,192.30,57.00,0
2호기,밤,11,30.4,25.1,48.5,92.81,195.46,47.96,0
3호기,낮,6,21.5,21.4,45.9,106.41,201.92,51.98,0
2호기,낮,10,29.0,24.5,49.0,100.96,210.41,52.33,0
3호기,낮,5,31.1,24.0,51.5,100.79,177.56,54.78,0
1호기,낮,15,30.6,27.2,61.4,98.87,231.09,51.04,0
2호기,밤,6,24.2,31.7,51.0,103.01,211.79,49.94,0
1호기,낮,4,32.7,22.3,69.2,98.59,210.53,46.06,0
3호기,밤,11,38.5,26.3,51.2,89.36,194.94,46.04,0
1호기,밤,7,33.4,20.7,35.4,112.80,171.06,49.63,0
3호기,밤,13,24.8,28.0,44.5,99.42,204.74,50.23,0
2호기,밤,1,30.0,22.8,47.5,110.68,188.17,52.10,0
1호기,낮,11,34.0,23.6,55.3,103.30,195.05,54.86,0
1호기,밤,4,25.3,23.0,52.7,98.50,201.87,43.56,0
2호기,낮,3,25.9,23.6,52.7,95.73,165.35,45.89,0
1호기,낮,16,28.1,23.3,34.3,110.19,220.41,59.21,0
1호기,밤,0,27.4,23.9,31.7,117.72,199.87,58.44,0
2호기,밤,8,28.3,23.2,47.0,89.25,200.14,53.57,0
3호기,밤,8,26.2,26.3,49.8,105.20,202.45,48.63,0
2호기,낮,1,24.1,20.8,36.9,97.65,171.64,46.06,0
3호기,낮,1,32.1,24.8,54.4,82.40,181.24,39.37,0
3호기,낮,13,31.6,25.1,39.2,114.67,194.82,57.36,0
3호기,낮,6,30.8,25.8,52.9,104.32,193.99,56.21,0
2호기,밤,4,,24.1,43.5,106.49,200.40,46.40,0
1호기,밤,1,37.3,31.8,56.1,108.29,195.49,54.43,1
2호기,밤,8,23.8,24.1,48.6,105.97,188.18,46.86,0
1호기,밤,10,26.3,24.3,50.6,107.49,176.29,44.68,0
1호기,밤,6,30.8,24.7,33.9,107.69,220.31,59.01,0
3호기,낮,3,25.8,27.5,63.3,112.57,169.57,45.64,0
3호기,밤,14,37.8,29.9,69.6,105.92,205.80,48.21,0
3호기,낮,13,24.5,22.5,63.9,99.30,227.30,41.48,0
2호기,낮,11,29.1,26.6,57.9,109.11,174.86,56.23,0
3호기,낮,,34.1,24.7,67.1,115.72,254.80,55.67,0
2호기,낮,14,29.8,20.5,58.8,95.74,180.07,46.91,0
1호기,밤,13,24.8,22.3,57.1,90.56,193.88,51.22,0
1호기,밤,2,38.4,22.6,44.9,81.73,144.85,50.76,0
1호기,밤,15,26.0,24.4,56.5,98.09,189.86,51.22,0
3호기,밤,13,31.6,22.4,42.5,105.82,202.13,56.86,0
3호기,낮,15,30.3,25.1,44.7,76.80,167.95,57.69,0
2호기,낮,11,39.8,23.8,58.9,106.26,186.73,41.45,0
2호기,밤,1,36.4,24.7,58.3,90.01,169.35,61.71,0
2호기,밤,1,29.7,24.1,61.5,94.35,204.61,53.53,0
3호기,밤,12,25.0,26.6,55.9,104.01,210.85,47.59,0
1호기,밤,6,20.7,23.4,39.6,85.57,212.54,52.93,0
3호기,낮,6,30.3,23.6,49.4,106.15,230.51,44.24,0
2호기,밤,13,32.8,28.0,52.9,126.23,195.48,51.05,0
2호기,낮,15,31.1,25.0,39.8,115.26,174.49,47.76,0
2호기,낮,6,35.2,26.7,42.8,115.35,210.52,53.02,0
3호기,밤,9,40.1,25.8,36.5,103.75,194.45,45.80,0
2호기,밤,8,29.4,26.6,56.6,86.74,205.32,47.23,0
3호기,낮,10,30.6,26.5,28.9,86.36,204.31,52.16,0
1호기,낮,11,29.2,25.1,36.9,122.41,234.27,59.79,0
2호기,밤,8,30.7,24.5,56.1,111.85,191.74,53.41,0
1호기,밤,0,25.5,21.7,70.8,113.59,181.26,41.56,0
3호기,밤,1,30.5,29.7,55.3,89.20,219.19,48.45,0
3호기,낮,12,26.5,24.1,74.4,101.19,202.79,48.27,0
2호기,밤,14,30.8,29.4,45.4,112.33,172.39,47.53,0
2호기,낮,16,29.5,26.0,43.8,94.24,168.63,47.20,0
2호기,밤,12,31.3,26.9,52.7,95.57,204.48,51.85,0
3호기,낮,16,23.0,26.4,29.6,109.49,230.54,50.32,0
1호기,낮,9,26.0,25.9,57.6,92.15,200.96,47.69,0
3호기,낮,3,39.8,20.0,62.3,105.16,210.65,56.02,0
2호기,밤,10,34.6,22.5,37.9,99.75,199.29,48.61,0
1호기,낮,0,28.2,25.4,63.2,97.84,201.70,50.17,0
2호기,밤,8,41.4,25.0,61.8,95.06,201.78,42.88,0
3호기,낮,13,22.7,17.2,25.1,96.98,209.80,50.36,0
1호기,밤,2,29.9,27.6,50.5,109.66,168.54,48.04,0
