months_joined,plan_term,pay_method,net_product,monthly_fee_won,total_paid_won,data_gb,cs_calls,addon_count,left_service
8,24개월,지류고지서,광랜,102555,970206,128,4,3,1
27,무약정,카드,광랜,132036,3884679,31,6,5,1
66,24개월,계좌이체,없음,112202,7892938,314,5,0,0
26,24개월,지류고지서,광랜,55883,1482149,186,10,3,0
26,무약정,카드,광랜,143020,3878380,226,8,2,1
9,24개월,지류고지서,기가,113383,1163312,286,10,1,1
46,12개월,지류고지서,없음,48010,2389136,30,0,1,0
33,24개월,카드,없음,19000,549263,229,6,4,1
25,24개월,지류고지서,없음,119014,2845420,331,3,4,0
48,무약정,카드,광랜,106208,4317095,267,5,0,0
22,무약정,지류고지서,기가,121856,2468119,140,0,4,0
11,24개월,계좌이체,광랜,73570,795257,149,3,2,1
66,무약정,카드,없음,99150,6654422,250,0,4,0
56,무약정,지류고지서,광랜,34572,2015994,240,6,1,0
67,무약정,카드,없음,66777,4369650,236,4,2,0
74,24개월,계좌이체,광랜,101284,7879995,167,2,4,0
71,무약정,카드,없음,121290,미확인,24,8,3,0
14,24개월,지류고지서,광랜,105291,1406789,397,1,2,1
51,무약정,카드,없음,101687,4940876,416,2,2,0
20,24개월,카드,없음,108715,미확인,279,9,3,0
1,12개월,카드,기가,55672,62478,497,2,1,1
1,24개월,지류고지서,없음,97518,105432,414,2,3,1
54,12개월,지류고지서,광랜,55622,2561888,471,8,4,0
17,24개월,지류고지서,없음,102815,1616834,401,6,3,0
11,12개월,카드,없음,62263,753106,170,1,3,1
47,12개월,계좌이체,광랜,52511,2539373,392,0,0,1
51,24개월,카드,기가,69554,4031373,127,9,4,0
35,24개월,지류고지서,광랜,32899,1211350,80,4,4,0
70,24개월,카드,기가,133335,9208265,254,9,,0
40,12개월,카드,기가,133090,5694960,282,6,1,1
74,,계좌이체,없음,152000,12120471,79,10,0,0
39,24개월,지류고지서,없음,123285,5057029,321,1,4,1
13,12개월,카드,없음,123042,1546599,170,0,4,1
58,무약정,계좌이체,광랜,54888,3013958,22,10,5,0
28,무약정,지류고지서,기가,38945,1276384,369,6,1,1
15,무약정,카드,없음,152000,2265700,221,2,5,1
62,,지류고지서,광랜,33735,2014637,429,9,5,0
71,무약정,계좌이체,기가,40898,3061550,342,1,4,0
29,12개월,계좌이체,없음,152000,4571041,440,6,4,1
1,12개월,지류고지서,기가,143913,154665,457,7,1,1
44,12개월,카드,없음,107827,4104714,136,2,3,0
48,24개월,계좌이체,기가,19000,864323,213,4,2,0
6,24개월,지류고지서,기가,57880,,390,0,4,1
41,무약정,지류고지서,광랜,98231,-,360,2,3,0
30,24개월,카드,없음,61216,1909830,136,5,5,0
69,무약정,계좌이체,기가,52574,3398780,106,10,5,0
51,24개월,지류고지서,없음,92479,5015162,419,7,4,0
4,무약정,지류고지서,기가,111930,401934,23,3,3,1
31,,카드,광랜,,2368159,153,3,5,0
14,24개월,지류고지서,광랜,84447,1370394,394,1,2,1
28,,지류고지서,기가,152000,4283232,336,10,2,1
24,12개월,지류고지서,광랜,120570,2975977,166,0,0,0
64,무약정,계좌이체,없음,117264,8162298,243,7,3,0
34,24개월,지류고지서,없음,152000,4529749,98,3,1,1
19,무약정,지류고지서,없음,72175,1455847,320,9,4,1
17,,카드,기가,65449,1321516,267,7,4,1
53,24개월,지류고지서,없음,91956,5302235,285,2,0,1
34,12개월,계좌이체,광랜,136065,5054709,218,4,0,1
71,무약정,카드,없음,115455,9177206,129,5,3,1
5,무약정,계좌이체,없음,119034,522703,,0,3,1
22,무약정,카드,광랜,73212,1624500,258,1,3,0
10,12개월,카드,기가,57139,624928,436,0,3,1
12,12개월,계좌이체,광랜,143275,1673182,230,5,2,1
59,12개월,계좌이체,광랜,53332,4079970,68,2,0,0
27,24개월,지류고지서,없음,139050,3941096,118,2,1,0
43,24개월,지류고지서,없음,44211,1983867,314,0,1,0
32,무약정,계좌이체,기가,72384,2422206,253,0,1,0
39,24개월,카드,기가,112173,4540270,317,2,2,1
20,24개월,지류고지서,광랜,141048,2500569,142,9,3,1
21,24개월,지류고지서,없음,71037,1634278,471,5,1,1
11,24개월,계좌이체,광랜,42457,520313,204,6,4,1
63,무약정,카드,광랜,19000,1264683,334,4,2,0
,24개월,,광랜,130023,,272,0,1,1
22,무약정,카드,기가,97762,1784088,339,6,3,1
45,24개월,계좌이체,없음,101593,4567872,120,1,1,0
60,12개월,지류고지서,광랜,,6130479,406,2,3,0
13,무약정,카드,기가,107970,1299080,131,5,2,1
22,무약정,카드,기가,81509,1540563,338,2,1,1
26,12개월,카드,없음,142270,3727549,280,5,1,1
72,12개월,계좌이체,광랜,120160,8683920,257,2,,1
28,12개월,지류고지서,광랜,100100,3109316,54,10,5,1
66,무약정,계좌이체,기가,42330,3209606,87,2,5,0
33,12개월,계좌이체,광랜,99630,3302735,359,1,4,0
41,12개월,,광랜,63276,2712718,431,3,2,0
45,무약정,계좌이체,기가,19000,827339,22,7,0,1
12,무약정,계좌이체,없음,89315,989497,455,5,0,1
24,24개월,지류고지서,기가,98667,2601776,72,1,1,1
74,12개월,카드,광랜,130756,9527511,237,6,5,0
37,12개월,지류고지서,없음,34978,1256310,478,7,3,0
51,무약정,지류고지서,광랜,80395,4316871,267,0,2,0
28,무약정,지류고지서,기가,74663,1993689,240,1,4,1
63,무약정,지류고지서,기가,23722,1353889,153,2,4,0
66,무약정,카드,기가,32329,2083087,141,7,3,1
74,24개월,지류고지서,기가,111409,7210536,262,1,4,0
59,12개월,카드,광랜,130180,7155011,16,9,3,1
53,24개월,계좌이체,없음,126284,5999027,435,8,4,1
47,24개월,계좌이체,기가,61850,2525317,14,2,1,1
66,24개월,카드,없음,89718,5546542,271,1,5,0
62,24개월,지류고지서,광랜,88756,5556057,463,1,0,1
56,24개월,카드,기가,84252,5452767,140,1,0,0
61,무약정,지류고지서,없음,90931,4529449,85,6,2,0
24,12개월,지류고지서,광랜,95159,2394082,116,2,0,1
46,24개월,지류고지서,광랜,97554,4142783,340,7,3,1
11,12개월,계좌이체,없음,141426,1557713,,10,5,1
71,12개월,계좌이체,,58407,4120488,264,6,5,0
46,24개월,카드,광랜,97488,4418679,324,5,4,0
74,12개월,지류고지서,광랜,78750,4970288,95,6,3,0
66,24개월,카드,없음,115741,7483748,56,1,0,0
16,24개월,카드,없음,61065,864302,207,10,2,1
12,12개월,카드,광랜,93993,1226952,417,2,2,0
35,24개월,카드,없음,52509,2141873,59,7,0,0
58,12개월,계좌이체,기가,58816,3598823,404,7,4,0
28,무약정,지류고지서,광랜,83641,2036979,299,6,1,1
15,12개월,,없음,25528,366549,501,1,0,0
22,12개월,지류고지서,광랜,19000,422229,354,6,0,0
56,24개월,카드,광랜,144672,8466617,413,0,0,1
41,무약정,지류고지서,광랜,77393,3602483,235,5,4,0
74,12개월,지류고지서,없음,152000,11203387,219,10,4,1
36,24개월,지류고지서,광랜,77365,2761224,124,7,4,1
45,무약정,카드,광랜,88329,4081490,276,7,1,1
1,12개월,카드,기가,75405,83230,415,9,4,1
15,12개월,,광랜,117426,1645722,459,8,1,1
4,12개월,지류고지서,광랜,96879,438430,337,3,5,1
14,12개월,지류고지서,없음,135596,,481,5,5,1
72,24개월,카드,광랜,122269,8138324,374,7,0,0
50,,계좌이체,기가,122938,5559936,468,5,4,1
1,12개월,카드,기가,120218,106297,298,0,0,1
65,무약정,카드,기가,82702,5050725,422,5,4,0
,24개월,카드,기가,97129,3968168,182,5,0,1
26,무약정,지류고지서,기가,152000,4782881,,6,0,1
3,24개월,계좌이체,없음,136432,421978,257,3,1,1
33,24개월,지류고지서,광랜,109427,3893740,485,9,1,1
47,24개월,계좌이체,광랜,64369,3069979,121,1,1,0
67,무약정,카드,기가,52565,3446266,,4,4,0
48,24개월,카드,광랜,117515,5539090,184,7,5,1
50,무약정,카드,기가,69696,3493738,275,10,5,0
25,24개월,계좌이체,기가,93566,2336769,149,10,0,1
,12개월,지류고지서,없음,74579,81673,391,10,5,1
8,무약정,카드,광랜,96853,823037,493,9,,1
41,12개월,계좌이체,기가,20819,814798,154,6,3,0
19,12개월,카드,없음,29003,520485,16,0,0,1
5,12개월,계좌이체,없음,88776,,313,0,4,0
51,12개월,카드,없음,122180,6335632,430,,0,1
26,24개월,지류고지서,기가,69308,1595732,351,1,5,0
66,24개월,계좌이체,없음,80748,4647701,100,9,3,0
34,무약정,,없음,77414,2876592,277,3,2,1
1,12개월,지류고지서,없음,119243,124471,146,1,1,1
56,12개월,계좌이체,없음,116211,6949817,223,10,4,1
33,12개월,계좌이체,기가,51704,1862038,199,6,2,0
22,24개월,계좌이체,기가,76538,1561800,225,1,5,0
72,무약정,계좌이체,없음,49081,2724170,405,0,0,0
14,12개월,계좌이체,기가,,1644241,210,6,2,0
56,무약정,지류고지서,없음,33662,1900873,16,9,5,0
37,12개월,계좌이체,광랜,94216,3372740,428,6,3,1
50,무약정,카드,광랜,83912,4199250,151,2,2,0
23,24개월,카드,기가,102456,2509584,447,8,1,1
52,24개월,지류고지서,기가,122502,,152,2,3,0
42,무약정,계좌이체,기가,57230,2490227,482,2,3,1
55,24개월,카드,광랜,60154,3210003,216,5,1,0
30,,지류고지서,기가,92834,2588355,227,3,1,1
7,24개월,계좌이체,없음,41556,271071,479,3,2,0
55,24개월,카드,기가,19000,1029511,,1,4,0
31,24개월,지류고지서,없음,45699,1376497,272,10,4,1
57,24개월,지류고지서,없음,94481,4959350,151,4,0,0
11,12개월,카드,기가,84483,865805,339,1,3,1
51,무약정,계좌이체,없음,79885,4432796,433,2,3,1
28,24개월,지류고지서,기가,109922,3045402,451,9,3,1
68,24개월,카드,광랜,20989,1250741,437,10,2,0
12,24개월,계좌이체,기가,109191,1244299,180,6,0,1
42,24개월,계좌이체,없음,68517,,313,2,0,0
18,무약정,카드,없음,56427,1023010,310,3,4,1
15,12개월,카드,기가,80636,1089393,368,9,3,1
71,무약정,계좌이체,광랜,102649,6863083,349,3,3,0
37,무약정,카드,광랜,110461,3607467,458,6,5,1
44,무약정,지류고지서,기가,84768,3806377,116,3,,0
14,12개월,계좌이체,기가,104728,1040516,293,3,2,1
12,12개월,계좌이체,기가,46870,546719,20,0,0,0
41,무약정,계좌이체,기가,125742,4347948,349,1,0,1
5,24개월,카드,기가,81887,417561,291,9,2,1
58,12개월,카드,없음,126350,5248607,271,8,0,1
3,12개월,카드,없음,88124,277031,390,6,0,1
70,무약정,계좌이체,없음,152000,9376917,41,6,4,1
36,12개월,지류고지서,기가,113053,4711777,28,6,2,1
33,24개월,지류고지서,없음,128567,3954130,73,4,4,1
52,12개월,지류고지서,광랜,103283,,289,5,5,0
28,12개월,카드,기가,83166,,44,8,1,1
37,24개월,카드,기가,90475,3186422,105,0,0,0
29,무약정,지류고지서,기가,87303,2456617,353,7,1,1
5,12개월,카드,없음,149887,미확인,,2,5,1
26,무약정,계좌이체,없음,64412,1668183,431,2,4,0
72,12개월,카드,광랜,23251,1974975,358,8,1,0
66,24개월,카드,광랜,22640,1481464,438,2,1,0
28,24개월,지류고지서,,37431,1045521,271,9,0,1
63,12개월,지류고지서,광랜,127223,8658046,368,4,4,0
6,무약정,계좌이체,광랜,54559,358277,91,2,4,1
55,무약정,지류고지서,광랜,79825,5127487,188,1,0,0
27,24개월,지류고지서,광랜,54267,1554096,181,3,1,0
24,무약정,지류고지서,없음,152000,3082700,26,2,4,1
25,무약정,지류고지서,기가,150141,3546200,180,1,2,1
19,,계좌이체,없음,52262,904041,330,10,5,1
30,12개월,,기가,121213,3446376,231,0,4,0
49,12개월,지류고지서,기가,88342,3909715,259,4,3,1
5,12개월,카드,기가,90725,433442,183,3,2,1
69,무약정,계좌이체,없음,74444,5421874,87,4,1,0
39,무약정,지류고지서,없음,,,444,6,4,1
58,무약정,지류고지서,없음,115495,6065860,68,,5,1
11,무약정,카드,기가,113432,1210691,389,6,5,1
18,24개월,지류고지서,광랜,,1267268,265,4,,1
8,무약정,계좌이체,없음,63519,544623,362,4,2,1
32,12개월,,없음,24260,858609,81,0,0,0
72,12개월,카드,없음,,5644824,184,8,3,0
,24개월,계좌이체,기가,110364,7456496,501,8,5,0
20,24개월,지류고지서,,43448,821333,118,5,1,0
1,24개월,지류고지서,없음,141440,159397,332,8,0,1
46,무약정,계좌이체,없음,87294,4029718,35,2,3,0
23,12개월,계좌이체,없음,130026,2983725,42,6,2,1
48,무약정,지류고지서,광랜,80392,4113113,54,1,3,0
64,12개월,카드,광랜,101856,6806186,55,0,3,0
30,24개월,계좌이체,없음,85435,2516095,220,2,5,0
14,12개월,카드,없음,150397,2286512,481,9,0,1
71,12개월,카드,없음,94667,7386875,229,3,5,0
11,24개월,계좌이체,없음,83589,852811,51,4,2,1
13,12개월,지류고지서,광랜,79506,844304,67,10,2,1
49,무약정,계좌이체,기가,140523,7201083,389,4,4,0
26,12개월,카드,광랜,19000,402767,116,4,2,0
21,무약정,카드,없음,101393,2282656,474,4,5,1
38,무약정,계좌이체,광랜,67614,2241463,63,7,4,1
63,무약정,지류고지서,광랜,70931,4361482,302,10,3,0
33,무약정,계좌이체,기가,78746,2852763,498,5,0,1
53,무약정,계좌이체,기가,86367,4736362,358,0,3,0
19,12개월,계좌이체,없음,152000,2162010,432,2,0,1
33,무약정,계좌이체,광랜,67678,2342777,203,10,0,1
41,무약정,지류고지서,광랜,84991,3744809,494,4,0,0
62,무약정,계좌이체,기가,115018,6441066,46,6,3,0
16,12개월,지류고지서,기가,84145,1335638,206,0,0,1
33,12개월,계좌이체,광랜,79247,2520588,228,2,0,1
48,무약정,지류고지서,기가,152000,6726050,183,1,3,1
54,24개월,계좌이체,기가,22420,1394013,47,1,5,0
34,무약정,카드,없음,61070,1651168,298,10,0,1
43,24개월,카드,없음,82509,3327482,483,3,4,0
58,24개월,계좌이체,기가,95598,5786601,465,0,5,0
42,12개월,계좌이체,기가,116185,5071737,271,9,1,1
56,24개월,계좌이체,없음,97709,5189851,210,4,5,0
55,무약정,계좌이체,없음,56047,3090754,418,5,0,1
14,12개월,계좌이체,기가,52105,753646,461,3,0,1
25,12개월,지류고지서,광랜,60103,1663449,94,10,2,1
59,24개월,카드,광랜,35426,2116732,71,6,4,0
49,무약정,지류고지서,광랜,,1382001,346,2,0,0
34,12개월,지류고지서,기가,41657,,167,3,1,1
57,12개월,카드,기가,,6835819,335,9,1,0
46,24개월,카드,광랜,52144,2461045,175,7,3,0
67,24개월,지류고지서,광랜,127251,7432940,349,0,1,0
44,24개월,계좌이체,기가,89964,4121986,82,2,2,0
3,무약정,카드,광랜,70851,235626,362,7,3,1
5,무약정,지류고지서,광랜,,222478,58,0,2,1
53,24개월,계좌이체,기가,120702,5941248,181,5,,1
58,무약정,카드,없음,,1308705,485,3,,0
68,무약정,카드,없음,139675,10392649,109,10,5,1
14,무약정,지류고지서,광랜,110192,1394066,353,8,4,1
10,12개월,지류고지서,없음,120826,1025228,92,8,1,1
31,무약정,지류고지서,없음,53143,2130716,92,1,2,0
18,24개월,계좌이체,광랜,120391,2193636,25,2,2,1
19,24개월,지류고지서,기가,94237,2019707,293,3,3,1
58,24개월,계좌이체,광랜,19000,1146010,467,0,4,0
59,24개월,카드,없음,19000,955442,180,10,5,0
60,12개월,지류고지서,없음,19000,1099561,365,4,1,1
24,무약정,카드,기가,41791,1081805,38,9,2,0
65,무약정,계좌이체,기가,91830,6037760,394,1,5,0
64,12개월,계좌이체,기가,73380,4984041,191,9,2,1
43,12개월,카드,광랜,126052,5671663,,2,4,1
67,12개월,지류고지서,기가,122294,9129779,376,10,5,1
11,24개월,계좌이체,없음,65004,750691,108,4,4,1
43,12개월,지류고지서,광랜,72431,2915139,372,9,4,1
37,무약정,,없음,72091,2808645,259,2,5,0
60,,카드,없음,148217,9421840,36,2,0,0
7,24개월,계좌이체,없음,81278,570074,472,6,1,1
42,무약정,지류고지서,없음,80179,3029675,16,0,4,0
22,24개월,지류고지서,없음,64518,1326892,201,5,,0
24,무약정,계좌이체,광랜,152000,3369853,126,1,5,0
53,24개월,지류고지서,기가,82932,4370611,66,9,5,0
,24개월,지류고지서,없음,49572,2162652,207,2,1,0
51,24개월,,기가,106097,5171448,36,9,0,1
6,무약정,지류고지서,,63507,,291,9,0,1
50,,계좌이체,기가,152000,6992626,78,4,1,1
66,12개월,계좌이체,광랜,80199,5661760,177,10,,1
30,24개월,지류고지서,기가,109677,3480225,188,0,1,1
55,12개월,지류고지서,없음,64555,3297674,131,7,4,0
1,무약정,카드,광랜,129598,137031,448,0,5,1
13,무약정,계좌이체,광랜,142139,1915248,318,9,3,1
55,24개월,지류고지서,기가,63552,3271158,69,7,4,0
44,무약정,지류고지서,없음,109367,4285994,341,10,5,1
31,무약정,카드,광랜,43799,1404432,184,5,3,1
48,무약정,카드,광랜,139618,7425181,38,0,3,0
17,무약정,카드,광랜,109795,2116354,319,6,5,1
28,12개월,지류고지서,기가,,1810176,9,6,0,1
8,무약정,카드,광랜,,474020,422,2,,1
68,12개월,지류고지서,기가,63541,3981016,143,5,5,0
30,24개월,계좌이체,광랜,26464,741879,187,3,2,1
64,24개월,지류고지서,기가,112475,6950682,332,3,1,0
45,24개월,지류고지서,광랜,110699,4874886,27,6,3,1
17,12개월,계좌이체,없음,149109,3011439,238,9,3,1
,무약정,지류고지서,광랜,90373,2174721,154,2,1,1
60,24개월,지류고지서,기가,,1181751,343,2,4,0
53,12개월,지류고지서,기가,19000,1055357,25,6,2,0
40,12개월,계좌이체,광랜,145123,5768607,96,4,1,1
29,무약정,지류고지서,기가,,2026571,170,3,2,1
13,12개월,,없음,,,193,5,0,1
59,무약정,지류고지서,없음,91133,5531278,455,3,4,0
6,24개월,지류고지서,없음,83428,535992,26,6,0,1
29,24개월,계좌이체,광랜,94056,2604939,88,5,2,1
33,12개월,계좌이체,없음,142293,4426961,454,0,0,1
44,24개월,카드,없음,,2280577,332,1,4,0
,12개월,카드,광랜,61809,2268741,441,9,5,0
54,24개월,지류고지서,기가,19000,1184150,160,3,4,0
28,12개월,카드,기가,77724,2486319,81,0,2,1
23,24개월,지류고지서,기가,100627,2509331,247,4,3,1
2,무약정,계좌이체,기가,121750,,444,9,1,1
54,무약정,카드,없음,67466,4372082,230,10,4,0
10,24개월,계좌이체,기가,98373,868817,452,2,4,0
30,무약정,지류고지서,기가,126355,4429733,,3,3,1
51,무약정,카드,없음,51292,2795641,327,5,3,1
66,12개월,계좌이체,광랜,88451,4986834,164,2,5,0
7,12개월,계좌이체,광랜,82831,646938,361,8,4,1
18,무약정,카드,광랜,43230,735386,72,5,0,1
62,24개월,지류고지서,광랜,19000,1185342,122,9,,0
1,24개월,지류고지서,기가,132842,147675,159,8,2,1
32,12개월,계좌이체,없음,83939,2564372,84,3,0,0
36,12개월,계좌이체,광랜,66099,1944960,431,2,5,0
7,무약정,카드,기가,,835446,102,4,1,1
13,24개월,계좌이체,광랜,64638,751070,183,,1,1
63,24개월,카드,광랜,,1295476,447,0,1,0
61,무약정,지류고지서,광랜,82125,4487405,323,0,0,0
5,무약정,지류고지서,기가,93582,458895,234,6,4,1
71,12개월,카드,광랜,88587,6722295,425,7,0,1
41,24개월,지류고지서,없음,66435,3219485,27,1,2,0
70,24개월,지류고지서,광랜,76139,5422868,353,3,5,0
22,24개월,계좌이체,없음,,711507,298,5,2,0
38,24개월,계좌이체,광랜,152000,5942345,380,7,5,0
50,12개월,지류고지서,기가,109015,5200604,99,7,,1
33,무약정,카드,기가,152000,5446985,502,0,1,1
65,무약정,카드,없음,134136,8547763,335,5,2,1
47,무약정,카드,기가,41525,2018417,298,2,2,0
13,,카드,광랜,114194,1588868,51,7,3,1
23,24개월,지류고지서,없음,50644,,229,3,0,1
67,무약정,카드,광랜,19000,1003332,228,4,0,0
28,무약정,지류고지서,없음,93386,2955336,146,10,4,1
24,24개월,계좌이체,광랜,55060,1338156,171,0,5,0
64,,지류고지서,광랜,67215,5356489,367,1,0,0
65,무약정,카드,기가,112743,7250944,288,0,4,0
44,24개월,카드,광랜,94498,3383926,454,1,0,0
62,24개월,계좌이체,없음,109617,5426308,363,8,5,1
7,24개월,지류고지서,기가,75594,547020,78,3,0,1
8,무약정,지류고지서,광랜,108881,847657,433,3,3,1
56,24개월,계좌이체,기가,108211,6346382,433,6,2,0
51,24개월,카드,없음,54092,2887358,337,2,3,0
59,12개월,카드,광랜,105347,6090052,156,3,0,0
71,24개월,지류고지서,없음,51035,3410136,44,7,3,0
54,24개월,계좌이체,없음,152000,6994378,393,8,3,0
20,12개월,카드,기가,68713,1291082,438,8,5,1
31,24개월,카드,없음,29267,906205,47,0,4,0
44,24개월,지류고지서,기가,98209,4796372,56,0,4,1
27,무약정,,광랜,134727,3468985,306,2,3,1
38,무약정,,기가,104223,4019898,181,3,1,1
74,24개월,계좌이체,광랜,47187,3879746,92,1,0,1
37,12개월,카드,없음,89870,3277522,74,0,3,1
56,무약정,카드,없음,73629,4184175,397,4,4,1
18,24개월,계좌이체,없음,,1245715,189,3,0,1
20,24개월,계좌이체,기가,,2183778,475,2,4,0
,12개월,,,80551,557028,95,6,0,1
18,무약정,지류고지서,없음,116421,2167096,213,0,3,1
52,12개월,지류고지서,없음,40803,1988225,418,,5,0
61,12개월,지류고지서,기가,102833,5806373,178,8,5,1
44,24개월,계좌이체,기가,26191,1109795,87,3,2,0
64,24개월,카드,없음,127484,7878155,24,3,2,0
24,24개월,계좌이체,광랜,25441,525956,149,3,3,1
39,무약정,계좌이체,광랜,125369,5150375,157,5,2,0
32,12개월,카드,광랜,98314,2975581,267,9,0,1
1,12개월,계좌이체,,75907,74378,,1,4,1
32,무약정,계좌이체,기가,96026,2863001,109,3,3,1
6,24개월,카드,없음,118471,734127,196,3,0,1
72,12개월,지류고지서,기가,125991,10431842,494,4,,0
74,12개월,카드,기가,93752,6178950,490,3,1,0
65,24개월,,기가,128421,9406868,474,9,0,0
38,24개월,카드,기가,94800,4251532,,3,4,0
39,12개월,지류고지서,없음,152000,6281504,117,7,5,1
55,,계좌이체,기가,104013,5330072,468,5,5,0
38,12개월,계좌이체,없음,69540,2506689,268,4,3,0
6,24개월,계좌이체,없음,98133,652195,405,1,3,0
16,무약정,계좌이체,기가,95730,1456861,397,8,2,1
3,12개월,지류고지서,기가,74884,252488,21,4,1,1
62,24개월,카드,광랜,72320,3954871,420,4,1,0
28,12개월,계좌이체,광랜,72951,2002124,131,3,0,1
38,무약정,지류고지서,없음,101505,3924576,350,9,0,1
52,24개월,지류고지서,광랜,50351,2515055,344,5,3,0
13,24개월,카드,없음,79472,1056804,138,2,3,0
58,24개월,지류고지서,없음,152000,-,179,,0,1
21,무약정,계좌이체,기가,56877,1418940,234,0,4,0
59,무약정,계좌이체,광랜,93198,5118286,99,1,3,0
72,무약정,계좌이체,기가,67908,4725856,370,1,2,1
14,12개월,지류고지서,없음,60669,862362,210,3,1,0
73,12개월,계좌이체,광랜,38020,3300959,315,,2,0
25,24개월,계좌이체,없음,152000,3995467,433,4,3,1
65,24개월,계좌이체,기가,89402,5632331,285,6,2,0
5,무약정,지류고지서,없음,65277,368146,168,2,3,1
26,24개월,카드,광랜,19000,586543,340,6,1,0
36,24개월,계좌이체,광랜,113785,4129967,503,7,0,1
9,12개월,지류고지서,없음,66716,612950,372,1,4,1
10,24개월,카드,광랜,86653,719378,95,,0,1
10,12개월,계좌이체,기가,35719,363489,395,2,1,1
59,24개월,지류고지서,기가,76551,3817358,294,5,4,0
59,,지류고지서,기가,111150,5739345,387,,5,1
45,12개월,지류고지서,없음,85741,3485711,210,1,3,0
36,24개월,카드,광랜,126032,4760985,346,8,1,0
44,12개월,지류고지서,광랜,105207,4558031,272,4,1,1
35,24개월,카드,없음,57434,2340605,318,5,5,0
44,24개월,계좌이체,,52159,2126398,,7,4,0
7,12개월,지류고지서,기가,68976,509476,310,2,4,1
36,무약정,지류고지서,기가,152000,4473857,233,2,5,1
22,무약정,지류고지서,없음,31687,758369,85,9,4,0
6,12개월,지류고지서,광랜,31715,229738,90,4,2,1
54,무약정,지류고지서,광랜,,1165053,251,1,3,0
18,24개월,계좌이체,광랜,102339,1873148,142,6,4,1
10,12개월,계좌이체,기가,96226,1004879,99,1,4,1
28,무약정,지류고지서,광랜,105363,3001901,37,1,2,1
30,12개월,카드,광랜,21112,694105,312,1,0,1
18,무약정,카드,기가,87164,1320232,68,5,3,1
39,무약정,계좌이체,광랜,135874,5695499,202,10,4,1
14,24개월,계좌이체,기가,85420,1126870,48,6,3,0
38,무약정,지류고지서,없음,,4678222,107,1,0,1
23,24개월,지류고지서,없음,81395,1838613,97,1,3,0
62,무약정,계좌이체,광랜,,4230476,434,5,2,1
52,12개월,계좌이체,기가,88525,4954235,307,8,0,0
41,무약정,계좌이체,기가,67734,3098312,132,0,0,0
19,24개월,,없음,52671,916223,192,,2,0
57,,카드,광랜,22385,1216187,340,,4,0
73,24개월,카드,없음,76232,,329,4,3,0
2,24개월,카드,광랜,61779,133662,348,0,4,0
,24개월,카드,기가,58242,3035379,484,7,1,0
72,24개월,계좌이체,광랜,37742,2427717,287,7,5,0
7,24개월,카드,기가,72765,512013,323,6,4,1
24,24개월,지류고지서,광랜,65603,1624626,177,4,2,1
59,24개월,계좌이체,없음,100182,,412,6,,1
41,무약정,계좌이체,기가,144434,5920008,382,2,3,0
23,24개월,지류고지서,기가,96469,2192061,369,8,3,1
50,24개월,계좌이체,없음,79259,3396232,210,2,0,1
30,무약정,지류고지서,기가,22776,688127,80,5,0,1
,24개월,계좌이체,기가,42733,501712,415,3,3,1
8,무약정,카드,광랜,67688,542002,355,0,2,0
25,24개월,계좌이체,기가,80931,2082255,70,1,1,0
27,무약정,카드,없음,124622,2681757,331,9,5,1
64,24개월,지류고지서,광랜,81427,4556139,251,3,3,0
5,12개월,,광랜,104415,576368,208,0,1,1
15,12개월,지류고지서,기가,37167,525572,392,4,3,1
47,24개월,지류고지서,광랜,131202,,89,0,3,0
49,무약정,계좌이체,없음,99217,4746146,132,0,4,0
72,무약정,계좌이체,없음,100279,7029227,368,5,1,0
46,무약정,카드,광랜,83824,4562061,21,2,4,0
64,무약정,계좌이체,광랜,43707,2905441,236,7,3,0
49,12개월,지류고지서,기가,116981,5655181,449,1,0,1
45,무약정,카드,기가,152000,6417640,67,1,1,1
46,무약정,계좌이체,없음,147557,6481405,297,9,5,1
53,12개월,지류고지서,광랜,105186,6290376,408,1,5,0
69,12개월,카드,없음,19000,1234323,91,0,3,0
9,12개월,카드,없음,62953,548181,184,6,1,1
72,24개월,지류고지서,없음,152000,12936795,352,2,4,1
45,무약정,계좌이체,기가,60490,2675682,76,2,0,0
39,12개월,지류고지서,기가,101943,미확인,88,4,0,1
48,무약정,계좌이체,광랜,81281,-,355,0,1,1
35,,계좌이체,없음,100148,3302031,222,1,2,1
31,12개월,계좌이체,광랜,128970,3713277,267,,4,1
38,무약정,카드,없음,119217,4841875,300,6,5,1
27,24개월,지류고지서,광랜,19000,615091,443,8,4,0
18,24개월,카드,기가,81403,1471416,276,6,4,1
42,24개월,계좌이체,없음,120348,4433825,125,2,4,1
73,무약정,지류고지서,기가,93169,6699678,113,2,0,0
8,12개월,카드,기가,148784,1251501,,9,3,1
28,24개월,지류고지서,기가,109335,3632211,323,1,2,0
45,24개월,계좌이체,,,5919784,419,9,1,1
16,24개월,계좌이체,기가,28334,445563,184,2,4,0
28,무약정,지류고지서,기가,35089,859873,351,2,0,1
37,12개월,카드,기가,73600,2557962,9,0,3,0
52,24개월,계좌이체,광랜,76712,3116552,292,3,1,0
48,무약정,계좌이체,광랜,127086,6553141,434,6,3,1
23,,계좌이체,기가,82978,1547038,51,9,0,1
63,24개월,카드,없음,19000,1291618,61,5,3,0
61,24개월,카드,광랜,142512,8390774,291,1,0,1
70,24개월,지류고지서,기가,107472,6827084,21,9,0,1
