rain_mm_year,mean_temp,sun_hours,soil_kind,soil_ph,fertilizer,n_level,p_level,k_level,output_kg_per_ha
1923,23.3,2007,양토,6.6,인산,88.90,46.14,39.64,2453
1185,,2593,양토,6.5,칼리,26.88,5.55,22.04,2561
916,19.4,2640,점토,6.8,칼리,12.45,21.04,45.25,2024
1218,22.2,2917,양토,6.1,인산,62.08,5.06,43.38,2394
628,19.7,3038,양토,8.0,칼리,29.97,20.53,30.41,2297
792,19.6,2681,사질토,6.3,질소,99.08,10.82,19.33,2040
665,15.7,2892,사질토,7.1,칼리,87.02,39.80,15.49,1748
1351,,1592,사질토,7.0,인산,56.74,14.47,43.92,1907
1033,25.8,,사질토,7.1,칼리,78.42,45.59,5.86,2118
1488,19.2,1907,점토,6.6,칼리,30.79,32.17,27.21,2018
1981,24.3,2929,사질토,4.9,칼리,41.68,11.99,14.36,2655
1447,,1648,사질토,7.4,질소,60.14,28.39,47.42,2246
1800,23.6,2442,사질토,6.7,인산,40.35,5.14,6.33,2338
1345,14.1,1858,점토,6.1,복합,60.16,35.03,40.53,1831
1392,15.0,1535,점토,6.6,인산,37.06,6.53,21.57,1804
1993,26.0,2973,사질토,7.0,칼리,80.73,18.15,37.37,2529
494,16.2,1869,양토,6.6,질소,70.66,24.89,33.23,2006
1836,18.1,2768,사질토,6.8,칼리,22.55,42.13,35.34,2605
1775,18.7,1794,양토,6.3,질소,65.49,14.55,37.01,2423
794,17.4,2275,사질토,5.3,칼리,39.48,18.23,48.66,1944
670,18.9,1494,양토,5.4,인산,11.03,18.66,49.32,1566
1721,23.5,2336,사질토,6.5,질소,95.93,24.25,20.89,2430
1156,20.9,1875,양토,4.8,복합,75.03,16.76,26.26,2369
1511,26.0,1617,사질토,5.1,복합,17.42,21.08,7.12,2196
1252,13.6,2722,양토,7.4,복합,73.55,33.92,42.54,2804
942,19.3,1714,점토,6.5,복합,69.43,30.95,22.23,1590
1599,22.5,2199,사질토,6.3,복합,88.59,37.18,5.60,2434
640,20.0,2971,사질토,7.3,인산,63.04,6.17,5.37,2010
2039,21.9,2569,점토,5.9,칼리,55.45,13.00,17.41,2298
1679,17.9,2528,양토,5.5,인산,34.13,8.46,42.35,2595
1321,25.2,2913,양토,6.5,질소,17.95,37.03,23.74,2617
1335,13.9,1468,양토,6.8,질소,77.12,7.46,20.44,2148
1467,9.5,2061,양토,6.3,질소,93.65,10.85,13.15,2396
834,18.7,2066,사질토,7.5,칼리,40.02,43.42,36.59,1843
768,24.9,1932,사질토,6.8,인산,79.14,25.89,22.09,1827
1190,,2601,양토,5.5,질소,31.15,8.24,11.02,2307
1576,13.8,1873,양토,7.1,복합,80.59,14.70,6.92,2383
1608,20.2,2342,사질토,7.4,질소,22.28,34.76,17.40,2555
641,22.4,2590,점토,5.8,복합,36.11,23.46,39.04,1745
1686,16.7,2145,사질토,6.4,질소,20.78,34.08,37.53,2372
1899,23.5,1932,양토,5.6,질소,42.82,36.19,31.19,2704
1606,15.4,1694,사질토,5.4,인산,46.28,15.91,41.13,2054
675,17.9,1721,사질토,6.4,복합,13.54,46.50,14.99,2016
618,20.7,1928,점토,7.1,인산,80.40,5.80,47.45,1748
1420,,2977,양토,6.7,인산,73.13,29.23,37.03,2386
1710,24.2,1628,점토,5.4,질소,70.33,7.11,5.53,1999
1405,,2341,점토,5.4,인산,82.54,8.15,18.61,1996
2030,,3002,점토,7.5,질소,48.13,27.65,25.64,2456
1637,13.0,2570,양토,7.2,칼리,86.26,17.95,6.40,2428
923,11.6,1530,점토,5.3,질소,70.28,17.44,40.46,1467
1751,21.9,1932,점토,7.2,복합,59.15,38.44,9.17,2213
1456,23.9,2452,점토,5.8,질소,74.75,34.02,37.91,2191
1496,15.0,2189,점토,6.8,복합,79.66,18.45,49.28,2170
732,21.4,2812,점토,6.0,칼리,50.31,7.40,5.56,1780
1735,16.2,2173,사질토,6.5,복합,65.39,5.42,32.85,2524
1569,13.7,2801,사질토,6.2,칼리,12.42,9.13,24.55,2454
755,15.8,1876,사질토,5.9,복합,52.67,42.46,23.40,1991
942,23.4,2777,점토,6.2,칼리,73.35,47.18,35.00,1713
1521,17.2,2648,점토,5.6,인산,87.10,35.28,47.94,2042
860,12.1,,양토,4.8,질소,90.26,42.14,46.48,2137
728,12.0,2317,사질토,7.5,칼리,90.25,18.17,27.88,1818
906,19.5,2418,양토,6.6,복합,83.38,32.32,11.63,2204
1600,14.8,1895,양토,5.8,인산,23.34,41.19,32.51,2287
1809,18.2,2947,사질토,6.6,질소,56.46,18.42,11.58,2563
1747,16.1,,사질토,5.4,질소,98.82,11.93,23.24,2369
1593,26.0,2386,점토,5.0,칼리,12.54,15.71,14.34,2108
1840,17.8,2858,양토,6.0,복합,85.26,37.95,10.95,3067
1487,18.8,1767,양토,6.8,인산,17.39,15.24,38.32,2351
1836,25.6,2945,점토,4.8,칼리,50.72,29.48,28.45,2255
703,14.5,2431,양토,8.2,복합,86.83,21.94,16.09,2137
840,15.0,2736,양토,6.2,인산,48.35,14.38,34.43,2339
1445,10.0,2808,사질토,6.1,질소,23.22,10.68,14.60,2361
574,17.7,2533,사질토,6.4,복합,41.32,17.91,38.47,2038
1769,20.1,2280,점토,6.4,복합,57.76,19.66,8.75,2311
1610,18.7,3037,점토,5.5,질소,42.09,20.24,37.28,2305
658,18.8,2632,양토,5.6,칼리,79.54,36.82,44.02,2144
1169,16.6,2079,양토,5.9,복합,16.22,28.40,42.11,2402
1543,12.7,1893,점토,5.5,복합,87.14,32.18,35.64,2351
1294,19.9,1925,사질토,6.6,복합,30.45,45.19,5.17,2146
1924,26.0,2945,사질토,5.3,질소,20.15,5.06,30.60,2414
604,26.0,2386,점토,5.8,인산,89.75,40.98,32.54,1620
1641,15.6,1753,점토,7.7,인산,83.02,9.16,13.28,1904
652,23.8,2983,점토,7.0,인산,82.73,18.90,46.91,1679
828,9.5,2868,점토,5.6,칼리,25.11,45.64,36.04,1904
810,14.5,1479,점토,6.2,인산,69.77,5.80,26.56,1521
864,17.8,2690,점토,6.3,칼리,29.65,11.98,29.67,1871
734,18.9,2509,사질토,6.1,칼리,33.14,18.39,23.28,2024
493,24.0,1897,양토,5.8,복합,15.47,23.64,8.57,2211
2025,15.1,1798,양토,6.7,복합,80.87,33.42,7.70,2691
714,14.7,1851,양토,6.6,칼리,72.53,5.53,16.00,1934
1294,26.0,1670,점토,7.2,질소,60.94,8.72,34.68,2031
933,18.3,1918,사질토,6.4,복합,45.29,11.68,39.58,1864
1273,15.7,2408,사질토,6.5,질소,99.79,22.68,17.04,2341
1523,11.6,1891,점토,5.7,질소,65.38,41.29,12.69,1848
1384,15.6,,점토,5.7,복합,14.23,22.42,26.27,2117
1274,16.1,1558,점토,5.3,칼리,92.75,39.41,39.47,1710
1272,11.6,1640,점토,6.4,복합,75.18,24.07,34.95,1969
1282,20.5,2999,점토,5.2,질소,64.78,40.14,13.67,2026
1502,12.4,2172,양토,6.4,질소,16.38,22.46,30.56,2395
1355,16.1,2109,사질토,7.6,칼리,94.57,45.99,20.24,2130
1797,16.5,,사질토,5.2,복합,39.73,14.25,10.99,2510
1367,18.2,2573,사질토,6.1,칼리,27.59,27.69,5.16,2314
1830,21.3,1777,사질토,5.5,질소,76.39,22.06,10.09,2319
986,11.7,2036,점토,6.8,인산,16.37,38.49,34.53,1820
669,23.4,1520,양토,7.3,질소,86.26,12.64,32.89,2098
1726,20.8,2828,점토,6.5,질소,14.17,15.95,39.35,2026
1798,14.0,2671,사질토,6.4,인산,60.56,48.22,37.76,2458
481,19.3,2433,사질토,6.8,칼리,47.25,34.83,22.51,1916
1434,10.6,1984,양토,4.9,복합,91.02,26.47,40.79,2446
1736,16.2,2202,점토,7.4,인산,62.98,33.19,39.85,2205
904,22.8,1634,양토,4.8,칼리,98.19,14.41,42.95,2196
766,20.6,2880,양토,6.4,질소,98.23,9.87,27.05,2494
1495,26.0,2664,사질토,7.2,인산,45.44,25.85,7.07,2387
1227,14.6,3005,양토,6.9,인산,74.72,32.29,5.64,2236
798,20.6,2635,사질토,6.4,인산,68.53,30.66,11.98,1903
537,15.6,2427,사질토,6.3,칼리,93.50,15.21,42.99,1861
711,24.2,2931,양토,7.2,복합,48.35,31.62,6.86,2100
970,14.4,2465,사질토,7.0,복합,12.48,14.82,46.70,2379
1643,21.1,3001,사질토,5.6,인산,97.90,30.65,45.23,2374
1509,20.1,3049,사질토,5.7,인산,89.03,21.43,43.63,2290
1437,21.8,1700,점토,6.8,칼리,68.29,27.88,29.70,2146
1957,12.6,2114,양토,6.4,인산,51.35,40.97,44.82,2573
1429,15.2,3035,점토,6.6,칼리,28.76,48.41,17.03,2167
1613,22.3,2481,점토,7.2,인산,89.04,19.01,7.94,2100
699,20.4,1580,양토,5.6,인산,81.22,13.05,29.49,1949
615,17.7,2207,양토,6.9,복합,41.99,47.81,19.24,2125
1122,13.2,2519,양토,5.3,칼리,98.44,33.51,14.95,1979
722,21.9,2896,사질토,4.9,칼리,57.95,35.54,11.74,1894
951,20.5,2899,양토,6.6,인산,69.02,9.65,16.14,2174
1423,19.3,2781,점토,7.1,칼리,32.39,15.83,44.21,2118
1507,20.9,1647,점토,6.5,인산,54.81,11.28,31.90,1998
1047,14.7,1774,점토,6.6,복합,12.22,23.28,37.08,1859
1564,16.5,1642,사질토,8.0,칼리,92.54,20.21,20.57,2114
1520,11.0,2601,사질토,6.5,복합,33.22,15.13,41.22,2531
621,14.9,2842,양토,6.0,복합,28.22,31.95,5.60,2025
1059,14.7,2285,사질토,7.2,복합,58.30,38.06,24.63,2138
1366,19.3,1668,양토,7.3,복합,89.64,43.91,30.85,2398
1899,21.2,2567,양토,6.9,인산,94.25,48.49,47.43,2457
481,19.2,2504,점토,5.3,복합,84.22,12.92,15.91,1708
1524,23.0,1707,양토,5.2,인산,62.91,9.07,19.36,2422
1579,12.1,2351,점토,7.4,칼리,31.84,12.62,35.97,2251
944,10.1,2065,점토,6.7,질소,21.08,16.75,5.27,1981
1768,,2433,양토,7.5,복합,79.93,48.85,49.92,2651
1028,15.3,2709,양토,7.0,복합,14.45,16.18,7.53,2106
908,17.2,1461,양토,6.1,질소,35.80,5.20,11.55,2041
1428,9.7,1876,양토,7.8,인산,35.68,10.58,46.51,2166
1206,17.8,2944,양토,6.7,칼리,37.82,42.03,21.94,2505
1662,15.1,2829,양토,5.8,인산,61.66,12.60,5.30,2575
2042,20.0,1843,사질토,7.7,복합,22.23,34.83,16.15,2601
1735,21.0,3041,점토,6.4,복합,81.41,13.41,38.50,2528
987,12.2,1804,점토,6.6,인산,40.89,27.01,18.54,1560
1677,14.9,2655,양토,5.9,인산,97.10,21.38,27.37,2742
1743,12.6,1572,점토,5.9,인산,23.94,34.83,6.58,2086
657,14.5,2291,점토,6.7,질소,79.51,9.03,7.67,1802
1834,12.8,2957,사질토,7.1,복합,29.51,7.71,23.05,2617
851,20.1,1637,사질토,6.5,질소,27.85,39.48,29.69,2023
1826,12.5,2751,사질토,6.2,칼리,40.87,6.45,14.15,2256
572,16.3,1804,사질토,7.6,칼리,19.67,46.13,40.92,1619
1294,18.9,2025,양토,5.3,질소,70.82,45.75,16.41,2337
1329,14.1,2042,양토,7.1,질소,11.36,38.32,36.08,2349
680,24.8,2584,점토,6.8,복합,91.54,18.78,30.31,1875
1000,19.5,2781,점토,7.8,질소,52.96,35.94,20.97,1994
1334,12.6,2631,양토,7.0,인산,50.13,40.05,30.75,2249
1785,19.4,2465,점토,6.8,복합,24.93,17.32,9.89,2280
1700,16.9,2705,양토,6.7,복합,72.08,8.28,43.65,2907
1703,23.3,2346,양토,6.1,복합,93.56,20.77,49.78,2692
1428,12.1,2638,양토,7.2,질소,86.81,34.15,11.64,2421
1952,20.4,2295,사질토,6.0,복합,93.71,17.04,6.73,2834
1473,20.8,2379,양토,6.9,인산,61.41,23.63,14.55,2055
1739,19.3,1668,양토,6.0,복합,84.08,22.86,27.70,2433
1569,18.2,,양토,7.0,인산,50.88,29.07,27.78,2389
1306,26.0,1565,양토,7.2,칼리,44.69,17.28,15.38,2100
1605,22.1,1819,점토,7.3,복합,69.45,37.44,47.80,1868
974,19.2,1559,사질토,6.9,질소,34.58,31.12,49.18,2106
2043,17.5,,점토,6.4,인산,10.49,14.43,32.94,2435
596,12.3,3047,점토,7.9,복합,30.05,24.25,48.25,1817
1906,18.8,1515,양토,5.7,질소,14.99,35.38,40.40,2393
1748,9.5,3021,사질토,5.8,복합,27.12,12.18,17.73,2777
1659,19.6,2302,양토,6.0,인산,19.90,17.29,48.86,2388
990,23.2,,양토,5.4,질소,15.64,40.11,10.90,2118
487,21.1,1508,사질토,6.7,칼리,31.75,43.17,10.21,1748
1101,22.4,1651,점토,6.0,복합,74.60,29.97,43.90,1745
2023,11.4,1901,점토,5.9,복합,90.72,35.34,47.25,2425
1890,11.3,2276,양토,5.1,질소,36.53,17.35,12.78,2561
1564,14.9,2056,사질토,5.2,질소,13.66,7.06,31.50,2175
1277,17.6,2940,점토,7.5,칼리,25.47,30.62,37.64,2173
917,13.6,1464,점토,7.0,칼리,24.99,46.36,29.43,1676
532,17.9,2060,사질토,5.7,복합,38.70,8.47,20.75,1870
1053,12.1,1691,사질토,7.7,질소,81.34,7.57,23.45,1982
1151,14.1,1934,사질토,6.1,복합,48.11,5.00,46.49,2209
1069,16.9,2508,양토,6.4,복합,72.30,45.44,22.81,2266
983,,2136,점토,5.8,인산,10.69,16.20,37.69,1647
631,20.5,1582,양토,5.3,복합,77.22,44.04,12.02,2048
1092,18.1,1890,양토,6.1,질소,56.33,36.60,32.02,2460
534,17.4,1744,점토,8.2,칼리,64.98,36.23,37.96,1657
2001,16.9,2831,사질토,6.2,인산,22.32,25.42,40.77,2588
1693,13.3,1761,점토,7.2,칼리,95.04,17.06,21.23,2013
1705,11.9,1717,양토,6.3,칼리,42.97,24.24,14.24,2246
1891,15.0,2242,사질토,6.1,칼리,78.76,21.42,40.58,2313
1600,15.9,1753,양토,7.5,칼리,39.95,5.73,6.56,2358
1751,16.7,1734,점토,6.5,칼리,48.02,48.73,47.15,2144
2031,21.2,1538,점토,7.5,칼리,63.73,48.79,15.19,2095
1973,17.1,2049,점토,6.1,질소,95.19,21.92,25.50,2298
1147,14.9,3049,양토,6.2,질소,51.16,20.37,6.24,2449
784,22.0,1565,사질토,7.7,복합,79.09,40.99,20.49,1896
1045,16.7,2305,점토,6.3,인산,84.70,11.48,29.02,1835
1979,17.5,2685,점토,7.3,칼리,44.70,30.88,39.81,2408
1217,22.9,1590,사질토,4.9,인산,35.54,48.04,9.83,2007
1311,14.1,2218,양토,6.5,복합,37.98,30.02,18.75,2437
1431,18.5,3045,점토,7.6,복합,89.01,15.53,9.48,2179
1789,9.5,1862,점토,5.9,인산,82.00,30.11,39.82,2035
1793,21.4,2367,점토,7.8,복합,66.75,33.06,8.10,2342
1061,20.3,1933,사질토,5.4,질소,15.45,11.24,40.11,1876
1455,13.9,1944,점토,6.1,인산,62.50,17.35,38.13,1922
523,18.5,2841,사질토,6.8,질소,49.96,43.29,48.40,2103
1170,10.2,2401,점토,8.2,복합,79.98,26.15,13.41,2116
2031,20.0,,점토,6.3,칼리,27.29,16.50,9.51,2416
1813,20.3,2593,점토,6.9,복합,33.81,7.41,14.12,2231
1976,26.0,2588,양토,6.5,칼리,92.50,5.82,45.13,2865
984,13.4,2620,양토,5.2,질소,37.09,30.29,5.35,2240
1127,14.3,1907,사질토,5.7,인산,18.21,16.74,17.77,1853
834,11.0,2007,사질토,7.8,인산,52.48,18.25,29.05,1851
1797,18.3,2730,양토,6.0,복합,71.03,17.49,12.61,2798
1135,20.7,3034,사질토,7.3,칼리,51.95,11.17,48.23,2264
1418,11.6,2591,사질토,7.2,인산,10.48,34.65,6.18,2021
1848,18.0,2074,양토,6.6,칼리,41.21,23.08,14.45,2351
1813,14.9,2091,양토,6.1,칼리,68.93,34.55,48.46,2591
1109,19.6,1910,점토,5.6,인산,67.37,27.83,26.12,1882
1594,16.3,1665,사질토,5.8,복합,98.02,18.79,11.78,2269
1784,14.0,2476,점토,5.4,복합,86.68,23.61,17.69,2235
1463,21.2,2102,사질토,7.7,칼리,13.33,31.60,42.69,2178
1676,21.1,2236,점토,7.6,칼리,86.87,34.71,6.16,2069
1471,16.6,2297,사질토,7.1,질소,67.71,15.00,32.52,2404
1489,19.6,2099,사질토,6.5,인산,79.07,9.55,38.37,2176
1203,19.3,2160,점토,7.3,칼리,52.31,46.71,27.29,1730
779,22.2,2804,양토,5.3,복합,94.99,29.78,19.31,2317
1194,16.2,2312,사질토,6.5,복합,64.20,44.98,21.27,2329
1628,10.3,2632,사질토,6.1,인산,69.23,14.43,29.00,2402
908,18.0,1773,양토,7.8,복합,71.48,15.57,5.93,1992
924,12.0,1971,양토,5.9,칼리,31.15,48.67,29.55,1958
943,16.4,2216,사질토,6.6,인산,61.42,46.45,38.42,1864
1458,25.0,2907,사질토,6.2,복합,35.00,49.36,6.72,2329
1751,16.6,2655,양토,4.9,칼리,23.00,40.09,17.55,2580
1029,9.6,,양토,6.4,칼리,80.92,38.79,21.68,2205
1597,19.3,2855,사질토,6.1,질소,58.73,49.70,41.38,2177
1983,14.9,2155,양토,6.5,질소,40.67,9.83,6.74,2596
666,9.5,2173,사질토,6.6,복합,34.22,16.66,31.21,1870
805,21.7,,점토,6.5,복합,71.02,19.92,14.66,2135
714,22.3,1832,점토,6.4,인산,62.93,6.35,15.19,1630
1546,25.6,2775,양토,7.5,인산,95.93,9.42,18.63,2387
2037,15.9,2287,점토,6.1,인산,75.41,29.98,5.06,2186
1937,16.1,1677,사질토,6.4,인산,25.72,30.49,32.18,2426
533,16.1,,양토,6.2,인산,18.25,9.55,49.30,2064
1690,17.2,1903,양토,5.3,칼리,46.58,33.86,10.05,2384
895,14.2,,사질토,5.1,질소,13.63,8.52,18.46,2192
1581,12.4,1766,점토,5.5,인산,46.23,14.53,34.26,2153
1557,24.6,2702,사질토,6.9,질소,61.78,6.27,23.74,2288
923,15.4,1857,사질토,6.8,인산,39.00,36.82,45.15,1949
1479,18.6,2353,점토,7.0,칼리,80.24,49.49,8.96,2085
743,17.9,2635,점토,5.3,복합,12.47,7.29,28.00,1690
1829,22.0,2794,사질토,5.4,인산,70.06,47.86,26.21,2289
1170,9.5,2522,양토,7.1,인산,53.36,31.45,39.14,2318
1037,21.6,2938,점토,7.5,복합,17.30,32.77,27.21,2327
1797,12.9,1464,사질토,7.5,칼리,10.57,16.51,18.40,2292
1632,23.7,3045,양토,6.8,인산,39.04,25.85,47.89,2489
529,13.6,2267,점토,7.1,질소,97.17,21.83,47.07,1647
1828,17.3,2608,점토,7.0,복합,65.67,5.64,29.16,2390
1281,20.1,1904,양토,6.8,칼리,87.34,13.23,41.18,2251
509,14.4,2617,사질토,6.4,칼리,86.50,47.97,39.24,1952
1412,16.1,2359,양토,5.9,칼리,56.01,30.25,39.09,2202
857,18.2,1555,점토,5.9,복합,66.98,44.84,6.72,1835
1378,24.2,1876,사질토,7.7,인산,26.07,23.37,27.09,2176
846,20.9,1528,양토,7.1,복합,44.78,7.44,19.09,2064
1184,10.0,2553,점토,6.9,복합,70.21,30.90,12.87,2135
1944,23.7,2593,양토,7.2,복합,55.43,33.76,30.62,2636
954,22.0,2377,점토,6.7,질소,96.55,42.79,42.03,1740
1672,18.3,1924,사질토,6.0,칼리,11.54,5.21,45.91,2395
1367,21.4,2158,점토,4.9,칼리,12.27,32.20,22.55,1782
656,23.4,1958,사질토,7.9,질소,65.80,7.26,6.11,1852
504,19.4,2501,점토,6.8,복합,55.74,25.55,8.81,1748
506,23.1,2406,사질토,7.7,복합,86.20,20.03,7.05,1935
548,14.7,1979,점토,6.6,질소,14.09,29.67,43.09,1786
1740,24.6,2170,사질토,7.4,인산,85.90,35.88,38.92,2256
1623,19.2,2063,양토,7.5,칼리,12.41,6.33,5.44,2289
516,15.7,2916,점토,6.0,칼리,98.99,42.69,27.50,1722
1087,15.8,2157,양토,5.8,복합,64.74,36.79,44.04,2258
1800,23.3,2461,점토,7.2,인산,76.09,9.74,7.58,2159
1742,26.0,1823,사질토,6.5,칼리,34.08,35.41,31.50,2383
1300,17.4,3019,양토,6.8,인산,96.69,8.87,24.83,2443
1765,14.6,2234,사질토,7.3,복합,76.89,24.41,10.50,2536
1668,,2720,사질토,5.6,칼리,15.85,30.28,11.67,2243
1449,19.0,2612,사질토,5.7,복합,27.40,23.06,20.83,2508
1193,15.0,2374,점토,6.7,인산,70.73,29.82,36.61,1818
1001,19.8,2085,사질토,5.1,칼리,28.88,37.66,35.03,1970
1117,11.3,1494,점토,7.8,복합,68.95,19.45,43.16,1774
1080,20.3,2435,사질토,6.8,복합,92.33,11.00,25.06,2133
1542,22.9,2419,점토,6.6,인산,22.28,17.38,48.52,2086
1289,21.9,2659,점토,6.4,칼리,17.19,49.88,33.39,2141
1640,15.4,2760,점토,5.3,인산,52.08,34.38,16.88,2037
1090,18.0,2529,점토,6.4,복합,50.90,48.37,17.61,1989
1951,12.0,2188,양토,6.2,복합,80.62,47.61,7.43,2623
1801,17.5,2588,사질토,7.3,복합,10.44,18.14,7.91,2455
1595,16.8,2716,점토,7.7,인산,53.69,16.26,36.25,1921
1023,19.0,2847,양토,6.7,인산,50.93,47.29,7.12,2225
1581,,2454,양토,6.6,복합,34.27,32.85,25.85,2511
1033,24.9,1582,사질토,5.9,인산,28.63,20.80,35.96,1736
647,17.1,2272,양토,6.8,복합,97.09,13.82,48.46,1932
1272,14.8,2158,점토,7.2,인산,22.00,10.50,39.68,2006
1981,12.5,2972,사질토,7.0,인산,23.00,33.00,8.31,2742
1495,16.8,2026,양토,6.7,복합,22.33,5.18,23.24,2583
1726,19.1,1893,점토,7.0,인산,98.15,49.74,13.68,2095
1053,15.3,2557,사질토,6.6,질소,61.24,24.73,48.29,2161
608,18.2,2382,점토,6.7,복합,99.37,22.31,21.56,1918
1046,22.6,1709,점토,6.7,인산,84.12,24.80,32.30,1717
634,25.3,2925,사질토,6.5,질소,85.38,36.13,18.88,2138
524,9.5,2175,사질토,7.0,칼리,30.63,48.25,23.59,1876
1653,24.7,2729,점토,7.7,질소,80.85,39.65,28.66,2383
1918,26.0,1915,점토,6.3,질소,94.82,34.00,23.01,2445
899,15.7,1944,사질토,7.3,질소,56.29,39.47,48.38,1817
484,19.5,,양토,4.8,복합,40.09,14.45,26.36,2096
1704,14.1,2626,사질토,7.6,질소,24.59,29.24,39.89,2312
1157,14.3,2437,사질토,4.8,칼리,85.35,12.05,22.65,2078
1846,20.2,1503,점토,6.7,복합,32.09,49.17,22.41,2297
1530,23.7,2708,사질토,5.5,칼리,27.57,45.32,46.70,2377
773,16.1,1612,양토,6.6,칼리,48.18,25.10,25.19,1836
1668,10.3,2986,사질토,6.1,인산,27.45,29.17,13.86,2336
663,24.9,2020,점토,6.3,질소,94.15,15.06,28.00,1892
1770,13.9,2379,양토,5.8,인산,25.96,19.07,36.46,2446
1394,19.1,2768,점토,6.3,칼리,15.24,29.93,14.56,2151
846,21.8,1720,점토,6.0,인산,13.54,25.29,32.27,1682
671,15.7,1640,사질토,5.7,인산,13.94,8.72,30.45,1846
885,14.6,2112,점토,6.8,복합,30.23,38.74,29.18,1597
754,24.7,2814,점토,6.4,인산,13.48,41.38,36.78,1559
836,17.0,2229,점토,7.8,인산,95.19,37.27,44.83,1793
1458,25.4,,점토,5.2,인산,72.15,37.92,35.35,1945
2043,19.9,2973,양토,5.0,복합,96.81,49.34,35.63,3060
612,11.4,1662,사질토,5.4,복합,32.61,16.99,41.22,1635
1883,19.8,1874,양토,7.7,인산,49.41,45.49,22.27,2573
732,26.0,1651,점토,5.5,질소,25.58,18.34,34.79,1391
1670,15.8,1920,점토,7.2,칼리,45.46,42.17,29.72,2053
793,19.6,2212,사질토,7.7,복합,42.96,10.36,24.62,2155
1401,23.3,2772,점토,7.1,칼리,58.90,37.93,6.26,2135
1886,19.1,2163,사질토,8.2,칼리,89.27,31.95,7.78,2510
824,20.1,2677,사질토,6.9,칼리,94.82,40.40,30.77,1797
760,12.9,2874,사질토,5.4,인산,36.22,46.69,41.12,1862
1008,21.3,1503,사질토,6.8,복합,50.53,16.87,26.92,2097
1774,20.5,2672,점토,7.5,인산,26.67,22.52,31.62,2159
1055,18.7,2887,양토,5.9,복합,47.81,27.48,32.12,2400
1606,14.4,2123,양토,5.7,질소,51.97,47.96,46.22,2310
1963,13.3,2775,사질토,6.0,질소,55.66,15.36,37.14,2275
509,13.1,2977,점토,6.0,인산,17.02,16.25,37.21,1818
758,19.8,2930,점토,6.5,인산,34.94,23.36,6.80,1691
863,15.2,2596,양토,6.4,복합,36.99,10.65,25.99,2394
1235,12.8,2093,사질토,6.5,칼리,83.83,29.80,10.53,2017
1826,16.0,1889,사질토,7.5,복합,12.38,26.54,45.78,2335
582,25.1,2419,양토,5.8,칼리,88.15,20.39,35.40,2077
604,22.0,1937,사질토,7.3,인산,92.27,13.86,28.07,1704
1171,13.1,2951,사질토,8.1,복합,10.47,42.22,38.65,2320
1435,19.6,1518,점토,7.3,칼리,10.85,33.04,8.07,1924
757,26.0,2759,점토,6.4,복합,53.72,14.14,34.56,1930
1336,22.2,1877,양토,5.8,인산,16.90,17.47,42.05,1934
933,13.4,2375,점토,6.5,질소,74.41,24.33,28.02,1869
1725,15.0,2750,점토,4.8,인산,40.39,5.51,35.24,2143
856,17.1,1893,양토,6.0,칼리,49.44,43.85,8.89,2066
1944,9.5,2285,양토,6.8,인산,87.94,9.91,44.72,2659
1947,19.0,2729,점토,6.0,칼리,69.67,29.25,15.52,2102
1210,14.1,2863,사질토,8.0,복합,12.94,35.70,33.98,2329
803,9.5,2435,사질토,5.4,질소,19.56,8.72,49.41,1927
1925,12.9,1758,사질토,4.8,복합,47.33,26.63,48.39,2386
1831,12.8,2759,점토,6.9,질소,80.88,24.97,13.32,2531
506,17.8,2194,양토,6.7,인산,84.41,37.09,20.17,1916
1605,18.0,2748,양토,7.0,인산,14.23,12.65,43.07,2613
934,10.2,2512,점토,7.6,인산,29.53,48.12,40.07,1703
875,19.6,2600,점토,5.3,칼리,90.70,23.37,11.62,1794
1704,20.9,1611,점토,6.3,인산,93.04,34.12,39.43,2038
1083,16.6,1634,점토,6.4,질소,37.30,17.32,6.94,1768
1107,24.0,2428,점토,7.1,질소,69.62,41.85,22.60,1627
1876,19.3,1584,양토,6.5,질소,96.55,14.90,49.89,2729
1195,,2717,사질토,6.2,칼리,29.71,28.52,38.79,2139
1320,19.0,2432,사질토,6.8,질소,13.74,25.25,26.31,2435
1770,21.9,2825,양토,6.5,칼리,17.84,15.04,46.98,2633
1843,16.8,2956,양토,7.0,칼리,88.03,8.06,8.93,2579
1079,10.4,2981,점토,6.7,인산,21.05,6.53,41.70,2044
1198,20.3,1482,점토,6.1,인산,64.64,35.09,22.92,1927
629,21.0,2489,사질토,5.9,복합,71.95,22.32,5.98,1933
593,21.0,2122,양토,6.5,복합,98.33,16.60,22.10,2041
882,16.1,1700,양토,8.1,인산,72.41,41.55,7.53,1956
1484,9.5,2661,점토,7.3,인산,64.24,38.24,19.70,1927
975,14.4,1960,사질토,6.3,질소,63.51,47.60,44.71,2036
731,13.6,2974,양토,6.0,인산,70.47,36.78,43.12,2028
1972,14.5,2726,양토,8.1,질소,90.23,16.29,30.77,2766
676,18.2,2276,사질토,6.2,인산,20.31,33.11,8.77,1894
1245,19.2,2358,사질토,6.9,칼리,62.89,47.10,31.52,2167
1240,23.5,2739,사질토,6.0,인산,44.26,5.02,29.41,2180
1818,15.0,2737,양토,5.7,칼리,20.85,23.87,25.86,2732
1366,15.9,1625,점토,7.3,질소,22.06,35.97,38.57,1908
996,21.0,1815,점토,7.6,복합,84.23,5.27,11.10,1920
