study_hours_week,attend_percent,extra_class,track,midterm_point,homework_avg,online_lecture_count,club_join,final_point
20,94.1,없음,예술,54.0,72.7,42,있음,45.8
24,68.7,없음,자연,67.2,70.0,0,있음,63.3
17,75.6,없음,자연,51.2,90.3,47,없음,55.0
33,79.5,없음,공학,57.2,90.7,16,없음,56.1
26,68.9,있음,어문,53.6,70.6,27,있음,51.6
22,65.7,없음,어문,44.2,84.0,4,있음,42.3
30,95.5,없음,사회,73.9,85.6,41,없음,68.3
35,52.2,없음,자연,45.8,88.3,48,있음,56.7
11,81.5,있음,공학,50.7,62.3,31,없음,48.7
28,96.4,없음,어문,77.5,76.9,28,없음,64.5
34,69.1,없음,자연,75.7,63.5,28,없음,60.7
14,82.9,없음,자연,59.6,83.9,40,없음,55.2
5,96.4,없음,공학,59.2,78.8,39,없음,55.2
26,76.5,있음,어문,74.1,59.0,8,없음,74.7
13,75.4,없음,어문,35.2,91.4,40,있음,58.9
40,74.0,없음,어문,75.3,99.8,27,있음,61.5
19,96.0,없음,공학,45.9,83.8,33,없음,47.7
38,68.8,없음,사회,81.1,64.5,27,있음,74.2
14,84.3,없음,공학,35.2,58.0,4,있음,52.6
26,89.9,있음,어문,77.5,62.1,7,있음,66.6
27,79.4,없음,예술,65.8,78.8,2,,55.7
13,95.4,없음,공학,43.7,92.2,33,있음,41.2
13,81.0,없음,공학,22.9,63.4,28,있음,52.7
33,77.8,없음,예술,61.7,81.9,47,,61.3
4,83.2,없음,자연,19.6,81.8,51,있음,26.3
8,69.9,없음,사회,10.4,83.4,28,있음,33.4
13,71.3,있음,예술,40.4,72.8,37,없음,41.8
17,94.7,없음,자연,51.4,91.3,24,있음,45.7
29,51.0,없음,자연,67.4,79.1,37,있음,63.9
34,57.9,있음,공학,68.3,65.9,31,있음,53.7
18,57.4,있음,공학,44.1,72.5,24,없음,26.2
24,73.1,없음,자연,74.5,88.9,51,없음,68.4
39,71.8,없음,어문,61.4,90.0,9,없음,70.3
14,98.6,없음,공학,38.7,63.0,5,있음,44.4
11,76.4,있음,공학,50.5,76.4,35,없음,39.4
13,100.0,없음,어문,29.9,58.0,47,없음,33.7
11,97.9,없음,어문,29.7,67.0,45,없음,38.9
3,71.4,없음,예술,51.6,85.4,13,있음,44.7
12,50.8,있음,어문,61.5,99.1,46,있음,47.4
29,73.9,있음,예술,81.4,100.0,2,없음,62.2
6,75.9,없음,예술,,88.0,6,있음,28.4
18,81.9,있음,어문,46.2,74.2,17,있음,45.0
1,69.2,있음,사회,29.8,79.5,18,없음,42.0
6,85.0,없음,어문,38.9,65.3,16,있음,59.1
22,70.5,없음,사회,59.5,70.4,14,없음,62.6
19,68.1,없음,자연,28.8,68.4,18,있음,33.5
38,81.9,있음,사회,87.1,80.4,8,있음,79.0
22,84.6,없음,자연,56.5,100.0,48,없음,61.5
25,73.5,없음,예술,75.4,95.2,23,없음,70.6
4,75.2,없음,예술,,58.4,41,있음,34.4
15,57.7,없음,어문,29.3,93.8,22,있음,38.9
22,48.0,있음,사회,51.2,85.2,51,없음,68.9
17,91.3,없음,어문,32.1,75.3,16,없음,48.8
29,82.3,없음,어문,68.1,77.6,8,있음,62.3
40,54.6,없음,공학,73.2,66.9,25,있음,61.2
27,73.9,없음,사회,47.2,76.8,18,있음,55.8
25,52.5,없음,공학,,64.0,31,,34.3
25,95.2,없음,공학,63.1,100.0,45,없음,60.1
17,84.8,없음,사회,39.7,67.7,48,있음,56.6
10,68.7,없음,공학,35.9,82.7,12,있음,53.0
32,96.6,없음,공학,85.2,71.4,8,있음,69.0
17,67.9,없음,공학,61.1,74.6,50,있음,52.4
28,77.1,있음,공학,65.2,96.1,27,있음,54.7
13,66.1,없음,공학,34.1,60.2,35,없음,40.1
13,74.2,없음,사회,22.9,66.9,20,있음,43.5
7,94.7,없음,예술,43.8,72.6,33,없음,46.8
3,65.8,없음,어문,12.3,92.6,8,없음,26.9
28,76.6,없음,어문,63.0,68.7,11,있음,70.4
22,71.1,없음,사회,38.7,68.9,44,없음,59.5
15,74.3,있음,사회,49.7,82.2,45,없음,32.1
29,81.3,없음,예술,,77.8,16,없음,58.3
38,88.1,없음,예술,69.5,82.7,42,없음,72.7
15,78.2,없음,자연,10.7,74.0,47,없음,33.3
12,70.7,있음,사회,66.8,73.1,48,없음,52.9
32,75.5,있음,어문,84.6,72.0,18,없음,67.2
5,70.2,있음,공학,36.9,72.7,45,있음,49.6
10,100.0,없음,어문,61.0,99.3,32,,79.1
38,57.7,없음,예술,86.5,79.8,11,있음,70.7
13,93.7,있음,자연,45.7,76.1,23,있음,43.0
7,84.0,있음,사회,49.3,96.5,42,없음,46.5
4,67.6,없음,예술,11.4,84.2,37,없음,22.9
13,87.6,없음,자연,40.5,95.9,7,있음,20.2
36,85.4,없음,예술,88.2,76.6,43,있음,63.7
27,59.1,있음,어문,46.9,86.9,23,있음,64.8
11,62.8,없음,사회,45.2,75.3,24,없음,51.6
18,87.7,없음,어문,47.0,91.4,6,있음,57.9
5,66.2,있음,자연,30.5,69.6,7,있음,39.7
27,67.4,없음,자연,65.7,100.0,20,없음,78.3
25,62.2,있음,공학,63.5,98.9,11,없음,49.8
16,93.8,있음,공학,42.0,69.4,24,있음,41.2
38,100.0,없음,예술,65.6,76.3,18,있음,60.9
23,95.6,있음,공학,64.6,94.3,10,없음,67.5
26,64.2,없음,사회,48.5,76.7,0,있음,48.3
3,100.0,있음,사회,54.3,81.1,13,있음,60.9
1,59.7,없음,어문,1.6,60.2,9,없음,23.6
5,62.3,없음,어문,0.0,89.4,33,없음,40.4
22,100.0,있음,자연,67.7,88.1,48,없음,54.6
15,92.0,없음,자연,57.6,88.6,11,없음,54.3
4,100.0,있음,자연,24.6,60.3,46,없음,36.4
8,67.3,있음,예술,50.3,100.0,26,있음,66.1
17,73.6,없음,사회,44.0,69.2,46,있음,38.4
32,78.9,없음,어문,66.1,58.0,39,없음,61.0
22,75.2,없음,자연,42.5,83.1,3,없음,39.7
23,79.1,없음,사회,52.9,100.0,7,있음,50.1
40,80.8,없음,예술,73.9,90.6,16,있음,78.5
24,48.0,없음,자연,65.9,80.3,40,있음,58.1
20,67.6,없음,사회,55.6,95.4,2,없음,58.8
22,82.7,있음,사회,57.7,79.7,10,없음,50.9
39,77.3,없음,공학,63.5,85.1,28,없음,64.4
25,72.1,있음,공학,64.7,73.1,43,없음,65.3
20,84.2,없음,어문,45.6,78.6,34,,44.4
27,70.7,없음,어문,74.4,100.0,42,있음,67.5
5,81.7,없음,사회,8.8,65.4,46,있음,35.5
39,86.0,없음,공학,100.0,87.7,44,없음,85.2
21,88.7,없음,자연,56.7,61.1,49,있음,65.7
21,68.9,없음,어문,50.6,93.3,42,있음,57.4
7,78.3,없음,공학,,66.8,32,없음,41.9
18,63.9,없음,사회,53.9,61.6,1,있음,44.5
23,74.1,없음,예술,65.5,75.0,39,있음,64.4
37,74.2,있음,자연,57.6,64.4,47,있음,63.9
28,66.6,있음,예술,64.4,61.9,26,없음,62.0
10,83.2,없음,공학,40.1,71.9,31,있음,44.2
17,52.5,없음,사회,37.0,60.3,21,있음,37.9
14,52.3,있음,공학,52.4,61.4,27,없음,45.4
27,60.5,있음,예술,61.6,92.5,48,있음,60.2
11,60.8,있음,어문,35.2,88.5,9,있음,44.8
11,100.0,없음,사회,30.1,79.2,43,없음,42.3
34,79.9,있음,어문,89.5,82.7,51,있음,72.8
32,79.5,없음,자연,83.2,89.9,13,없음,53.3
13,100.0,없음,공학,59.8,100.0,5,있음,66.9
12,58.3,없음,예술,44.7,85.4,27,없음,39.2
26,95.5,없음,공학,75.7,83.6,49,없음,55.1
16,56.7,없음,예술,29.7,84.2,31,없음,31.6
11,91.0,없음,어문,28.6,86.7,0,있음,36.5
10,99.4,없음,자연,54.8,87.0,40,,56.5
26,62.2,없음,어문,61.2,77.2,34,,61.6
18,76.9,없음,자연,31.4,75.8,49,있음,42.5
12,74.1,없음,공학,17.5,92.8,8,없음,24.6
26,80.2,없음,공학,82.9,63.1,44,없음,67.7
25,73.5,있음,예술,64.5,90.6,37,없음,59.2
27,66.1,없음,자연,65.7,93.2,6,있음,58.2
22,93.0,없음,공학,43.5,74.3,29,없음,56.5
7,82.3,없음,사회,32.1,73.8,34,,63.4
9,70.6,없음,어문,24.2,66.8,15,없음,41.7
25,58.5,없음,사회,61.7,78.2,41,없음,64.4
35,99.6,없음,공학,75.5,83.8,34,있음,56.6
34,66.7,없음,예술,73.1,89.0,39,있음,72.3
3,67.2,없음,공학,9.1,88.6,27,있음,16.7
19,80.3,없음,사회,32.6,86.1,15,있음,47.0
9,60.7,없음,어문,30.8,59.1,6,없음,43.1
22,57.1,있음,어문,61.9,82.4,3,있음,47.7
26,67.3,없음,공학,92.7,94.9,42,없음,68.4
33,61.5,없음,공학,64.8,97.4,16,있음,74.2
30,59.8,없음,어문,51.5,76.3,37,있음,49.5
31,74.3,없음,자연,80.5,74.5,10,없음,81.7
40,76.7,없음,자연,80.6,80.5,14,없음,75.1
19,68.2,없음,어문,50.7,88.5,19,없음,54.7
27,69.8,없음,어문,92.8,80.6,16,있음,80.6
9,82.5,있음,공학,34.8,58.0,35,있음,34.9
19,78.3,없음,공학,44.3,79.3,25,있음,44.3
32,97.1,없음,어문,65.5,95.7,18,있음,71.1
18,67.5,없음,공학,54.0,83.0,36,없음,54.1
9,77.5,없음,자연,25.3,91.5,51,있음,34.6
23,79.0,있음,사회,56.0,80.0,11,없음,68.5
34,70.8,있음,사회,83.5,78.0,48,없음,68.0
26,65.6,없음,예술,54.7,78.2,37,없음,43.8
10,66.1,없음,사회,37.9,100.0,30,없음,42.7
38,70.2,있음,사회,63.6,79.8,44,있음,56.7
12,65.1,없음,공학,45.7,90.9,7,있음,34.0
31,100.0,없음,예술,70.5,100.0,22,없음,69.3
10,96.9,없음,사회,41.1,99.6,27,있음,38.5
20,57.3,없음,자연,38.8,100.0,14,있음,44.8
21,84.7,없음,공학,59.0,74.9,34,없음,64.0
15,70.3,있음,자연,52.3,75.2,28,없음,41.9
16,78.6,없음,자연,15.8,60.6,6,,31.4
4,91.9,없음,예술,24.0,61.3,15,없음,40.1
32,71.6,없음,예술,79.8,75.7,50,있음,72.0
20,76.5,없음,어문,48.3,100.0,5,없음,46.5
4,75.6,없음,공학,21.5,82.5,42,없음,37.8
16,80.4,없음,사회,40.1,92.2,39,있음,57.3
3,79.1,없음,자연,23.4,70.0,7,있음,41.0
9,71.6,없음,공학,29.8,80.2,11,있음,44.3
22,69.2,있음,자연,54.1,71.4,40,없음,54.0
17,98.7,없음,사회,49.4,88.5,13,있음,49.5
15,81.6,없음,공학,43.6,86.7,27,없음,43.5
16,72.1,있음,자연,54.5,82.6,46,있음,39.1
17,92.4,없음,사회,58.0,74.9,3,없음,45.6
11,72.8,없음,사회,32.3,97.3,29,있음,48.8
28,88.3,없음,어문,60.6,86.2,25,없음,55.1
19,74.8,있음,사회,55.8,100.0,14,있음,44.9
19,69.8,있음,예술,34.3,71.7,31,,53.2
20,89.7,있음,어문,53.8,80.0,51,없음,57.6
10,71.0,없음,예술,28.5,81.8,40,있음,53.0
9,71.7,없음,예술,40.0,58.0,40,없음,40.6
33,80.2,있음,자연,,89.6,11,없음,84.2
14,66.9,없음,공학,38.4,81.8,46,없음,41.0
5,77.7,없음,자연,13.8,75.4,30,,18.1
24,80.9,없음,예술,55.3,59.5,15,있음,41.7
4,75.7,없음,예술,42.5,96.0,45,없음,64.0
20,79.8,있음,어문,80.8,76.5,39,없음,76.7
34,77.3,없음,사회,82.7,70.7,24,있음,68.8
22,75.6,없음,사회,62.1,96.6,14,있음,48.2
35,94.0,있음,사회,74.6,77.5,0,있음,66.1
14,94.2,없음,어문,49.7,64.8,36,없음,56.5
22,85.7,없음,자연,39.9,76.7,1,,56.4
4,85.4,있음,공학,42.0,75.2,21,없음,49.0
41,73.6,없음,공학,84.5,65.5,10,없음,72.2
24,81.9,있음,예술,60.8,70.2,9,없음,52.5
40,61.6,있음,공학,84.5,85.8,32,없음,80.3
32,77.9,없음,공학,76.4,72.6,16,있음,53.0
30,83.1,있음,자연,79.2,75.9,37,있음,64.8
29,67.7,없음,공학,66.4,86.7,28,,62.3
30,81.7,없음,공학,,69.7,11,없음,70.3
23,63.9,없음,자연,47.9,78.2,32,없음,57.0
25,92.6,없음,자연,59.1,95.8,45,있음,52.3
6,88.7,없음,어문,54.6,79.9,13,없음,58.6
34,91.7,없음,어문,76.5,100.0,42,없음,72.0
14,66.6,없음,사회,38.5,69.0,1,있음,51.9
31,90.1,없음,사회,65.0,100.0,20,있음,61.9
2,73.2,없음,자연,9.8,93.8,10,없음,42.3
21,90.6,없음,자연,58.1,70.9,26,있음,56.4
11,65.6,없음,어문,33.2,96.3,41,없음,48.5
29,84.8,없음,사회,74.3,96.2,13,없음,66.8
22,67.5,없음,공학,66.8,85.0,38,있음,62.4
21,68.5,없음,예술,55.4,91.8,48,있음,54.6
7,70.2,있음,공학,38.8,84.8,0,없음,30.6
2,90.5,있음,사회,31.0,62.1,36,없음,50.0
33,90.2,없음,자연,59.8,70.1,43,없음,39.5
18,71.9,없음,예술,,58.0,41,없음,54.7
2,83.4,있음,어문,19.4,68.6,27,없음,54.9
21,94.0,없음,공학,45.7,100.0,32,없음,55.2
10,79.0,있음,어문,,73.0,39,없음,38.7
20,65.3,있음,사회,52.6,95.9,29,없음,52.4
10,61.7,있음,자연,43.6,93.1,50,없음,43.2
10,82.9,없음,자연,39.3,79.4,6,없음,53.3
3,82.7,없음,어문,32.1,78.3,9,있음,45.4
13,74.3,없음,사회,52.5,74.0,27,없음,52.4
7,62.4,없음,사회,32.2,73.8,13,있음,37.0
33,76.4,없음,공학,,90.3,40,있음,76.9
28,73.1,없음,사회,77.0,69.5,13,없음,70.8
5,48.4,없음,예술,22.8,96.5,13,,30.9
6,88.4,없음,자연,35.2,66.8,2,없음,40.1
24,56.6,없음,어문,53.0,70.2,23,있음,63.5
40,68.3,없음,자연,73.7,71.5,51,있음,67.7
34,71.1,있음,공학,76.7,82.8,16,없음,59.6
32,84.4,없음,자연,58.7,92.5,7,있음,72.8
13,80.8,있음,어문,16.8,73.4,32,있음,39.8
23,71.9,없음,예술,50.5,74.6,3,있음,51.8
35,70.1,없음,자연,65.1,75.6,9,있음,61.6
32,70.7,있음,어문,76.9,60.9,38,있음,69.4
12,77.6,없음,어문,47.3,60.0,15,없음,50.1
5,70.4,없음,공학,34.2,72.2,28,있음,37.0
4,77.9,없음,사회,32.7,83.8,26,있음,52.5
1,65.0,없음,예술,31.4,77.4,41,있음,45.9
11,81.9,없음,예술,65.8,94.0,44,없음,66.6
18,66.5,없음,공학,,93.9,3,있음,33.1
15,89.6,없음,어문,36.0,58.0,1,있음,51.6
10,73.2,있음,예술,38.8,67.8,6,없음,45.9
32,71.0,없음,자연,79.2,71.0,12,있음,67.8
20,75.9,있음,자연,,80.7,42,있음,50.7
24,53.2,없음,공학,55.6,87.4,34,있음,60.9
36,81.0,있음,공학,89.2,90.7,32,없음,78.1
15,56.3,있음,사회,,65.4,23,없음,48.5
37,51.2,없음,어문,,86.8,12,없음,76.8
36,84.1,없음,어문,65.0,95.9,13,있음,69.4
13,78.5,있음,어문,15.0,75.5,36,없음,48.6
17,86.6,있음,공학,41.0,77.8,42,없음,42.8
23,89.0,있음,어문,70.3,76.5,0,없음,58.8
18,59.4,없음,어문,53.3,84.2,7,없음,57.3
25,89.8,있음,사회,48.4,91.3,28,없음,47.6
27,62.6,없음,어문,49.6,84.7,20,있음,54.4
12,57.6,없음,사회,,91.1,2,,30.0
28,68.9,있음,어문,64.9,71.2,34,없음,60.9
13,93.8,없음,자연,38.9,80.5,14,있음,42.1
26,85.2,있음,어문,61.8,73.5,50,없음,66.8
17,70.9,없음,사회,47.4,78.2,48,있음,48.7
20,80.9,없음,자연,46.0,80.4,9,있음,50.9
8,77.7,없음,공학,33.1,72.2,1,없음,52.2
23,75.8,있음,자연,77.8,83.2,23,없음,76.4
2,100.0,없음,공학,42.9,87.9,20,있음,42.5
11,52.5,없음,자연,25.4,67.1,24,있음,30.9
12,64.4,없음,공학,34.4,79.7,28,있음,41.2
28,78.1,없음,사회,80.5,62.7,11,있음,60.7
3,62.3,없음,어문,24.3,80.5,50,있음,44.9
16,55.6,없음,공학,29.2,91.7,28,없음,39.4
10,80.0,없음,공학,28.0,66.0,48,없음,38.4
3,56.9,없음,어문,22.5,86.9,50,없음,34.8
14,100.0,없음,자연,37.5,81.9,36,없음,46.6
7,55.4,있음,자연,25.0,70.6,49,,39.0
34,96.8,없음,자연,58.6,83.1,6,있음,69.2
21,62.1,없음,어문,54.8,58.0,43,없음,49.7
13,64.6,없음,사회,77.2,100.0,51,있음,58.8
29,66.6,없음,사회,57.2,89.4,10,있음,54.1
21,75.2,없음,어문,33.4,64.2,7,없음,45.8
31,69.5,없음,예술,60.2,100.0,48,없음,65.5
3,83.9,없음,공학,19.6,72.8,33,없음,19.7
41,100.0,없음,자연,91.0,83.9,41,있음,80.1
26,94.5,있음,어문,66.9,88.8,6,없음,61.8
5,93.3,있음,자연,29.1,87.6,24,없음,41.3
15,99.6,있음,사회,68.8,76.3,29,있음,54.7
29,100.0,있음,어문,71.0,63.3,36,있음,61.2
15,77.1,없음,사회,24.7,73.6,45,있음,36.9
24,83.5,없음,자연,62.9,99.0,38,없음,70.0
10,75.8,있음,자연,43.6,83.3,7,,44.9
30,58.7,있음,예술,66.2,70.0,34,있음,66.4
38,88.1,없음,어문,64.7,65.2,2,없음,70.0
39,100.0,없음,공학,68.5,90.4,13,없음,58.4
33,52.7,없음,사회,65.5,74.8,18,없음,61.3
41,61.4,없음,사회,76.9,88.2,51,있음,66.4
18,53.3,없음,공학,51.2,75.4,45,없음,49.5
20,58.7,없음,사회,16.9,87.9,24,있음,40.3
23,100.0,있음,사회,78.9,79.5,45,없음,67.7
11,79.0,없음,공학,35.4,90.6,23,없음,42.3
36,85.7,있음,자연,65.7,58.0,44,없음,62.9
31,87.7,있음,예술,92.6,86.1,30,없음,72.4
40,57.5,있음,어문,100.0,89.6,49,있음,74.1
8,64.8,있음,공학,53.5,60.7,16,없음,50.7
7,67.7,있음,사회,36.9,81.3,20,,55.8
7,76.2,없음,공학,29.9,99.7,27,없음,42.0
1,72.4,있음,어문,28.7,80.5,2,없음,40.8
12,58.4,없음,어문,9.6,65.1,41,있음,16.5
7,58.3,있음,자연,21.5,100.0,48,없음,35.8
4,48.0,있음,어문,18.5,76.6,47,없음,33.7
24,79.8,없음,예술,50.1,77.6,30,있음,62.3
1,56.4,있음,사회,31.7,98.7,8,있음,36.5
32,67.1,없음,공학,46.7,82.6,20,있음,53.5
35,56.1,없음,자연,70.2,92.2,9,있음,76.9
12,75.5,없음,어문,44.0,76.2,44,없음,55.2
30,62.2,없음,자연,59.9,74.7,14,있음,56.8
17,74.1,없음,자연,38.9,65.6,20,있음,50.2
31,99.2,없음,어문,72.2,78.1,15,없음,78.4
30,68.2,없음,어문,73.7,69.5,17,없음,74.4
6,54.6,없음,예술,23.9,74.0,31,없음,45.6
24,78.4,있음,공학,68.8,97.5,27,없음,80.3
12,57.7,있음,자연,28.1,58.0,42,있음,43.6
31,84.0,있음,어문,59.7,85.8,12,있음,65.9
34,88.4,없음,어문,91.0,88.2,37,없음,66.3
20,54.4,없음,자연,59.3,100.0,7,,46.7
19,73.2,없음,자연,53.7,77.1,44,있음,42.0
24,71.3,없음,자연,,80.6,44,있음,39.4
35,75.5,없음,어문,94.2,100.0,30,있음,73.4
31,61.9,없음,공학,,89.4,45,있음,64.4
26,70.7,없음,자연,,77.2,20,없음,57.7
28,100.0,없음,사회,59.6,77.9,4,있음,53.9
11,93.9,없음,공학,44.8,63.8,33,없음,48.7
39,99.4,없음,자연,93.1,64.9,24,있음,68.0
32,66.9,없음,사회,63.5,84.6,23,없음,64.6
20,87.7,없음,어문,56.4,72.3,32,있음,45.3
28,77.8,없음,공학,67.7,91.1,37,없음,42.8
4,82.4,없음,예술,56.6,85.2,26,없음,49.8
41,88.5,없음,공학,79.1,79.3,45,,62.1
38,85.5,없음,어문,93.3,66.5,16,없음,67.9
24,99.6,없음,예술,45.0,67.5,14,있음,49.6
28,90.8,있음,어문,58.4,80.0,13,있음,54.2
21,75.9,없음,자연,49.9,72.0,28,없음,56.8
14,63.6,없음,사회,21.8,81.5,2,없음,37.1
5,65.5,있음,어문,32.5,85.0,31,있음,23.7
5,98.8,있음,공학,43.2,82.0,28,있음,44.8
18,79.3,없음,어문,40.2,78.4,11,없음,37.8
12,87.9,없음,사회,30.6,69.1,14,없음,41.8
23,66.5,없음,어문,43.8,85.4,2,있음,38.0
8,81.1,있음,어문,30.7,68.9,12,있음,44.2
30,87.9,없음,자연,58.2,76.3,40,있음,54.1
11,64.2,없음,어문,23.7,70.1,27,있음,32.3
24,78.7,없음,사회,62.7,83.1,13,없음,63.9
35,77.6,없음,자연,89.0,87.5,17,있음,84.7
29,50.7,없음,사회,50.7,80.4,1,없음,44.1
3,76.7,없음,공학,18.0,81.4,36,있음,40.8
18,67.2,없음,예술,40.5,76.9,18,없음,39.2
14,100.0,있음,자연,39.4,68.2,0,있음,55.4
17,83.3,없음,어문,54.6,79.4,17,없음,61.7
18,65.3,없음,예술,28.8,75.5,33,있음,40.3
19,56.2,없음,예술,35.0,88.4,40,없음,43.4
2,76.2,있음,사회,52.4,71.5,26,있음,46.8
2,76.9,있음,공학,19.3,64.4,8,있음,20.2
2,77.8,없음,공학,28.2,67.0,14,있음,35.4
23,68.6,없음,자연,,100.0,40,있음,53.1
13,88.3,없음,공학,40.8,79.2,17,있음,45.6
31,51.1,없음,공학,58.5,89.1,51,,60.9
18,56.8,있음,예술,43.0,64.6,32,있음,41.8
32,81.6,있음,사회,70.9,76.6,41,없음,54.5
21,70.6,없음,예술,41.1,74.0,4,있음,65.9
35,81.0,있음,어문,65.8,68.8,40,있음,61.8
8,66.0,있음,어문,40.6,100.0,45,없음,51.7
17,68.8,없음,어문,50.9,82.1,34,없음,43.8
31,93.0,없음,공학,82.6,66.4,49,없음,73.1
37,64.5,없음,공학,76.7,74.8,26,없음,74.8
21,89.7,없음,사회,59.6,75.7,3,없음,55.1
33,77.1,있음,사회,77.0,77.7,51,없음,70.8
1,90.2,없음,어문,39.6,80.1,12,있음,50.8
31,66.3,있음,자연,74.7,89.6,19,있음,66.3
40,81.8,없음,공학,96.0,65.1,31,없음,76.8
18,56.7,없음,어문,46.9,99.5,36,있음,37.6
11,99.6,없음,공학,48.6,65.7,0,,42.2
11,75.2,없음,사회,41.9,76.9,4,있음,55.8
6,75.0,있음,자연,,91.3,4,없음,38.6
6,53.7,있음,사회,16.0,73.5,23,있음,32.4
26,77.8,없음,자연,38.0,71.0,35,있음,37.4
34,55.3,없음,자연,69.6,84.3,43,있음,63.0
3,66.0,없음,공학,8.4,73.7,10,있음,35.6
31,48.0,있음,어문,66.7,83.0,35,있음,61.4
36,63.9,없음,사회,83.8,83.2,18,있음,61.7
27,48.0,없음,자연,30.0,90.2,51,없음,44.2
29,50.0,없음,공학,86.9,82.2,47,없음,67.7
41,89.1,있음,예술,87.5,88.0,18,없음,67.4
2,73.0,없음,사회,21.5,79.7,50,있음,33.3
10,60.4,있음,공학,41.4,92.0,34,없음,42.1
7,67.1,없음,자연,18.7,78.6,6,있음,42.2
25,97.1,있음,사회,62.9,77.2,39,있음,68.5
36,88.9,없음,사회,65.0,75.8,43,,63.7
36,65.1,없음,예술,54.9,81.5,30,없음,60.7
36,48.3,없음,예술,62.9,90.0,21,있음,57.2
8,83.3,있음,공학,35.7,70.3,34,없음,42.5
16,100.0,있음,어문,52.5,82.8,35,없음,63.2
39,84.8,없음,공학,72.2,87.5,4,없음,55.5
38,58.6,없음,사회,61.6,65.0,23,있음,70.2
24,71.2,있음,자연,72.2,90.4,42,없음,63.2
1,65.5,없음,사회,1.2,76.8,12,없음,31.5
3,58.7,있음,어문,0.0,75.7,9,없음,31.5
9,49.3,없음,공학,28.9,100.0,42,있음,58.8
31,94.8,없음,어문,65.7,92.5,39,없음,60.3
26,62.8,있음,예술,52.5,84.2,50,없음,58.9
14,100.0,있음,예술,44.1,73.3,28,있음,41.5
24,90.3,없음,공학,84.6,93.8,19,있음,74.8
20,78.1,없음,사회,61.1,92.9,7,없음,65.0
5,64.6,없음,예술,12.9,78.4,18,있음,34.3
33,70.1,없음,예술,56.9,77.7,48,없음,44.5
39,94.5,있음,예술,78.9,74.0,13,없음,62.5
33,83.7,있음,어문,84.2,70.3,47,없음,62.7
24,69.4,없음,사회,32.7,70.0,37,없음,43.8
8,80.9,없음,사회,21.9,75.7,33,없음,37.0
8,64.3,없음,자연,10.3,84.0,20,없음,31.3
23,85.9,없음,예술,67.1,85.0,26,없음,52.6
2,70.5,없음,어문,2.8,58.0,46,없음,34.2
12,83.1,있음,공학,49.4,58.8,38,있음,41.2
21,51.8,있음,자연,75.5,86.3,21,있음,52.9
29,59.6,없음,예술,36.5,78.5,7,없음,32.2
34,81.8,없음,어문,81.4,81.9,8,있음,61.2
9,89.1,없음,공학,36.8,58.0,43,있음,46.9
5,85.9,있음,공학,45.8,87.3,11,,48.3
34,96.4,없음,자연,70.1,77.9,48,있음,59.6
5,48.0,없음,어문,15.8,68.8,38,있음,55.3
30,77.6,있음,공학,74.1,70.0,17,있음,80.3
27,52.3,없음,예술,58.8,99.9,19,있음,61.4
28,93.1,없음,공학,64.7,69.9,24,있음,62.0
34,90.5,없음,사회,57.1,85.4,18,없음,63.0
24,84.3,없음,공학,68.2,85.8,30,있음,55.8
8,78.2,있음,예술,48.7,100.0,47,없음,57.5
27,91.1,없음,어문,48.7,72.3,25,있음,52.2
26,69.9,없음,예술,65.9,73.5,45,없음,65.3
11,57.5,없음,예술,13.6,73.5,10,있음,32.7
37,65.7,없음,예술,46.4,58.1,23,있음,57.4
27,73.0,없음,공학,81.7,86.2,7,있음,58.1
32,81.1,있음,사회,77.1,82.1,36,있음,73.6
33,100.0,없음,사회,83.5,99.3,22,,70.1
5,48.0,없음,예술,8.5,87.1,16,없음,26.8
38,89.7,없음,어문,78.9,83.2,29,있음,72.3
1,81.4,없음,공학,22.7,93.0,44,없음,39.8
26,76.7,없음,어문,68.8,70.6,42,없음,66.2
9,54.6,없음,사회,9.0,100.0,8,있음,28.2
2,80.8,있음,사회,,65.4,3,있음,26.5
32,79.6,없음,어문,68.9,81.2,4,없음,54.8
2,69.2,없음,어문,17.9,90.0,28,없음,44.0
20,68.3,없음,사회,37.5,100.0,15,없음,52.8
13,71.3,없음,예술,40.6,75.6,35,없음,30.4
40,77.1,있음,공학,83.4,81.8,30,없음,80.2
33,86.8,없음,어문,59.0,98.3,19,없음,54.8
25,80.7,없음,공학,52.5,84.1,11,없음,34.0
16,75.1,없음,공학,25.0,67.4,6,있음,35.0
8,57.2,없음,어문,29.4,77.6,47,없음,44.0
21,88.5,있음,사회,64.3,72.7,49,있음,48.7
20,83.2,없음,사회,63.7,74.0,39,없음,53.7
33,61.1,없음,사회,72.4,78.8,20,없음,65.4
37,57.5,없음,사회,64.0,76.0,51,없음,49.0
12,84.2,있음,공학,57.0,86.9,30,없음,68.6
27,95.0,없음,사회,52.7,88.6,8,있음,51.5
25,58.6,없음,자연,61.6,71.4,27,없음,51.7
39,81.6,있음,공학,78.9,69.1,11,있음,78.8
38,92.7,있음,공학,71.0,80.8,17,없음,60.8
26,78.5,없음,공학,67.7,90.3,11,없음,68.1
10,73.5,없음,사회,33.5,58.0,12,있음,55.8
4,66.8,없음,공학,33.1,79.0,34,없음,43.4
10,88.6,없음,공학,33.8,61.9,18,있음,46.0
25,74.3,있음,자연,16.5,61.8,20,있음,36.3
16,78.7,없음,공학,,92.5,29,,46.7
