team,career_years,degree,job_rank,review_score,project_count,team_headcount,edu_hours,foreign_language,annual_pay_manwon
영업,0,석사,사원,100.0,20,8,58,중급,4377
영업,15,학사,책임,68.0,7,12,90,초급,7021
마케팅,17,석사,책임,73.5,11,1,63,고급,8268
영업,0,석사,사원,66.9,11,8,81,고급,4679
경영지원,24,,수석,,4,7,89,초급,9581
영업,4,석사,,95.7,14,14,99,초급,5676
영업,0,학사,선임,66.9,7,5,61,초급,4699
연구개발,0,석사,사원,78.8,5,14,35,고급,5680
연구개발,9,학사,,,11,12,61,고급,6787
마케팅,0,박사,사원,80.7,15,7,23,초급,5580
연구개발,15,석사,책임,94.9,15,10,36,고급,8934
연구개발,10,석사,선임,61.3,10,1,85,고급,7849
영업,12,고졸,책임,84.1,15,12,89,중급,6926
마케팅,18,학사,수석,98.7,11,7,78,고급,7796
연구개발,15,학사,,83.1,11,5,86,초급,7980
영업,9,학사,선임,90.7,1,2,61,초급,6690
영업,9,석사,선임,64.9,10,11,93,중급,6325
연구개발,4,학사,사원,80.0,7,5,57,초급,5824
마케팅,24,박사,수석,69.2,19,10,17,초급,10703
경영지원,17,학사,책임,74.5,14,13,33,고급,8528
경영지원,20,석사,수석,86.0,17,10,22,고급,8876
영업,15,고졸,책임,77.4,12,3,23,고급,7304
연구개발,17,학사,책임,99.1,2,7,98,중급,7917
영업,20,학사,수석,96.8,13,0,87,초급,8303
경영지원,15,박사,선임,76.7,7,7,58,고급,8109
,19,학사,수석,78.1,2,4,65,고급,9444
영업,25,학사,수석,77.2,11,5,63,중급,10218
,12,고졸,책임,97.4,2,9,89,고급,7264
마케팅,0,학사,사원,93.4,2,6,86,초급,4893
경영지원,15,학사,책임,72.3,5,3,91,초급,7049
연구개발,23,석사,수석,97.4,11,,79,고급,10139
영업,25,학사,수석,58.0,13,5,27,고급,9650
영업,14,석사,책임,58.8,15,12,49,중급,7683
영업,6,박사,사원,69.3,18,8,22,고급,6516
연구개발,14,학사,책임,73.5,7,9,54,고급,7828
마케팅,9,석사,선임,73.5,16,14,40,초급,6607
마케팅,14,석사,,97.8,14,11,41,고급,7693
경영지원,3,석사,사원,75.6,7,15,71,초급,4297
영업,12,고졸,책임,91.5,11,2,66,고급,6173
연구개발,13,학사,책임,100.0,16,12,90,고급,6863
연구개발,23,학사,수석,86.9,3,3,25,중급,9104
연구개발,7,고졸,선임,73.9,,1,50,초급,5367
영업,6,고졸,선임,87.7,6,7,83,고급,4716
영업,5,석사,책임,73.3,6,7,38,초급,6787
영업,20,학사,수석,71.7,12,11,64,초급,8940
연구개발,1,학사,선임,71.3,7,10,54,중급,5266
경영지원,1,학사,사원,77.5,3,1,68,중급,4502
영업,14,석사,책임,,21,4,74,초급,7514
영업,9,박사,선임,78.6,7,5,35,고급,6207
영업,6,박사,선임,84.4,14,14,24,중급,6005
마케팅,15,학사,책임,94.2,21,3,52,고급,7451
,7,학사,선임,85.5,9,14,30,중급,6039
경영지원,15,학사,책임,92.9,2,1,40,고급,7430
경영지원,9,고졸,선임,86.8,16,13,57,고급,5504
경영지원,17,학사,책임,77.3,19,8,85,고급,7952
영업,17,석사,책임,92.4,,3,64,고급,8587
경영지원,1,학사,사원,74.5,21,15,91,고급,5566
경영지원,6,학사,선임,89.0,11,10,13,고급,5538
마케팅,24,학사,수석,97.3,9,0,10,중급,9610
마케팅,23,석사,수석,71.7,21,,42,고급,9816
연구개발,10,학사,선임,67.4,18,13,40,중급,5673
마케팅,24,학사,수석,68.8,11,2,84,중급,9963
연구개발,8,학사,선임,90.1,11,9,50,고급,5188
영업,24,박사,수석,78.0,12,1,46,초급,10157
연구개발,6,,선임,100.0,4,5,50,중급,5647
연구개발,24,학사,수석,88.5,4,1,100,고급,9657
경영지원,24,석사,수석,77.8,20,2,19,초급,9371
마케팅,0,석사,사원,82.8,20,11,23,중급,5080
영업,11,학사,책임,73.8,21,6,45,초급,6712
연구개발,4,학사,사원,100.0,4,12,50,초급,4867
영업,19,학사,선임,96.1,21,14,64,고급,7658
마케팅,10,학사,선임,86.0,14,0,90,고급,6225
영업,13,학사,책임,87.5,,0,21,고급,7738
경영지원,1,고졸,사원,70.6,17,14,8,고급,4153
연구개발,5,박사,선임,99.1,11,14,66,고급,7347
영업,10,석사,선임,66.8,18,1,16,고급,6768
마케팅,11,석사,책임,87.4,7,0,69,중급,6995
연구개발,17,학사,책임,92.4,8,4,45,고급,7534
마케팅,8,학사,선임,80.5,,0,9,초급,6105
연구개발,13,박사,책임,77.8,19,2,80,중급,7885
마케팅,19,석사,수석,78.5,10,2,45,초급,9045
영업,6,석사,선임,84.7,6,1,82,중급,6500
경영지원,0,학사,사원,87.7,4,13,76,고급,4374
영업,15,학사,사원,67.6,1,3,26,고급,7129
영업,24,석사,수석,70.4,3,0,11,중급,9912
영업,22,석사,수석,69.3,2,14,28,초급,9847
경영지원,1,석사,사원,91.4,12,3,82,중급,4653
연구개발,10,석사,선임,81.3,7,15,82,중급,6262
연구개발,18,학사,수석,100.0,16,9,47,중급,8579
경영지원,7,고졸,,67.5,16,15,14,중급,5111
경영지원,4,석사,사원,84.1,18,15,82,고급,5303
경영지원,9,석사,책임,76.7,1,12,55,중급,6608
연구개발,2,학사,사원,,1,4,52,초급,5024
마케팅,12,석사,책임,75.6,13,3,34,초급,7950
연구개발,7,박사,선임,77.4,5,7,24,초급,6797
마케팅,25,석사,수석,71.8,10,5,80,고급,10566
마케팅,16,학사,책임,76.6,14,9,28,중급,7260
마케팅,21,석사,수석,80.0,5,4,56,초급,10061
연구개발,16,학사,책임,76.8,18,2,14,고급,7280
연구개발,15,학사,책임,94.0,15,13,32,중급,8377
마케팅,16,학사,책임,,8,11,89,초급,7826
영업,3,학사,사원,82.3,15,12,42,초급,4378
연구개발,10,학사,선임,68.2,12,,83,고급,6920
영업,11,학사,책임,64.7,20,6,49,초급,6521
연구개발,11,학사,책임,81.2,8,13,36,고급,7733
연구개발,14,학사,책임,63.3,8,13,51,초급,6776
마케팅,12,석사,책임,89.5,1,5,52,초급,7317
영업,2,학사,사원,78.6,7,1,84,초급,4182
연구개발,24,학사,수석,72.5,8,13,45,고급,10114
,6,학사,선임,64.7,6,10,31,고급,5780
경영지원,17,석사,책임,67.1,14,6,43,고급,8363
마케팅,8,석사,선임,70.8,16,7,97,고급,7194
경영지원,4,학사,사원,82.9,6,14,74,초급,5016
영업,11,학사,사원,92.2,13,0,84,고급,6226
마케팅,25,학사,책임,96.3,7,5,24,고급,8730
마케팅,16,고졸,책임,,13,6,56,중급,7194
연구개발,3,학사,사원,68.0,7,12,78,초급,4246
영업,25,학사,수석,84.2,8,3,33,고급,9376
연구개발,20,석사,수석,79.6,3,3,13,고급,10056
연구개발,15,학사,책임,82.4,14,10,20,중급,7013
연구개발,13,석사,책임,66.1,21,8,28,초급,7395
경영지원,23,학사,수석,77.9,,4,16,초급,8875
연구개발,18,석사,수석,58.0,6,1,90,중급,8629
영업,21,석사,수석,83.3,6,0,76,고급,9406
마케팅,19,,수석,76.7,13,7,48,고급,9248
연구개발,18,박사,수석,86.6,19,10,41,초급,9110
경영지원,10,학사,책임,70.0,21,3,25,중급,6631
,10,석사,선임,76.2,19,1,97,초급,6926
마케팅,17,박사,사원,78.3,14,1,90,초급,7267
영업,23,학사,수석,77.9,,12,28,초급,9664
연구개발,4,석사,사원,68.8,16,6,92,초급,4245
영업,12,학사,책임,68.3,,11,33,중급,8005
경영지원,4,학사,사원,58.0,11,5,84,중급,4800
,5,학사,선임,58.0,13,3,99,고급,6425
,19,석사,수석,83.2,13,,98,중급,10234
경영지원,19,고졸,사원,84.0,5,12,26,초급,7010
연구개발,15,학사,책임,93.2,9,14,42,초급,7452
마케팅,15,고졸,책임,,12,11,76,중급,6665
마케팅,16,학사,책임,82.8,6,3,20,중급,7985
마케팅,5,학사,,79.2,15,13,91,고급,5096
마케팅,15,학사,책임,,15,8,53,고급,7823
영업,17,학사,책임,96.9,16,3,72,초급,8217
연구개발,15,석사,수석,71.8,11,13,30,고급,8830
경영지원,14,고졸,책임,76.8,18,9,73,고급,6468
경영지원,10,학사,선임,69.8,8,,93,고급,5675
,14,박사,,82.4,15,10,30,고급,8153
영업,22,석사,수석,100.0,19,1,95,초급,9141
마케팅,0,학사,수석,93.0,11,12,100,초급,4116
연구개발,6,학사,선임,89.3,15,12,29,초급,6006
영업,1,학사,사원,79.4,14,9,60,고급,4666
마케팅,13,고졸,책임,100.0,18,6,94,중급,7550
영업,1,학사,사원,100.0,3,13,50,초급,4022
마케팅,23,석사,수석,79.5,8,15,57,중급,9954
연구개발,7,박사,선임,89.9,19,12,42,고급,7398
연구개발,25,석사,수석,75.6,20,11,53,고급,10634
영업,4,석사,사원,78.3,7,0,12,초급,6028
연구개발,8,학사,선임,59.6,12,10,78,중급,5968
마케팅,5,석사,선임,76.0,18,15,76,고급,5688
연구개발,2,,선임,82.5,16,14,25,초급,5735
영업,13,석사,,87.7,2,0,11,초급,7130
마케팅,2,학사,사원,,16,5,62,고급,4598
,20,석사,수석,58.0,10,8,97,중급,8554
마케팅,8,,선임,,18,14,62,고급,5455
연구개발,10,고졸,선임,61.5,18,10,51,초급,6538
연구개발,5,학사,선임,85.4,7,3,72,고급,5269
경영지원,23,석사,수석,69.2,4,13,43,중급,10258
마케팅,15,학사,,90.3,6,12,29,고급,7513
경영지원,9,박사,수석,83.8,21,8,82,고급,7800
마케팅,15,학사,책임,90.1,7,8,30,중급,7321
연구개발,14,학사,책임,75.3,8,9,59,고급,7397
마케팅,14,고졸,책임,89.3,15,5,90,고급,6952
마케팅,23,석사,수석,,2,15,18,초급,9550
연구개발,7,학사,선임,90.1,12,5,81,초급,5571
마케팅,17,학사,사원,75.4,2,14,75,초급,6726
마케팅,21,학사,수석,98.5,4,13,65,초급,8269
영업,25,석사,수석,73.1,19,10,18,초급,10408
경영지원,16,학사,책임,94.0,13,12,48,초급,6919
경영지원,12,학사,책임,65.0,,9,30,초급,6860
영업,18,석사,수석,80.3,17,9,49,중급,8858
경영지원,11,학사,책임,100.0,9,15,66,초급,7449
영업,3,학사,사원,79.6,20,14,68,초급,4587
경영지원,3,박사,사원,58.0,5,10,63,중급,6189
마케팅,4,학사,사원,90.9,1,11,72,중급,5020
마케팅,20,학사,수석,92.7,9,7,9,고급,8868
연구개발,10,학사,선임,79.9,7,11,22,고급,6444
연구개발,1,석사,사원,71.3,16,4,62,고급,5192
마케팅,17,학사,책임,63.7,15,6,53,초급,7725
연구개발,1,학사,사원,95.9,21,9,25,고급,4002
연구개발,7,학사,선임,75.9,9,5,46,초급,5811
연구개발,20,학사,수석,63.5,13,4,100,중급,9699
영업,4,학사,사원,96.9,8,13,24,중급,5975
마케팅,4,석사,사원,71.8,3,15,74,초급,5531
마케팅,5,학사,수석,59.9,3,,66,초급,5883
연구개발,9,석사,선임,79.3,17,14,58,중급,7725
연구개발,15,학사,책임,76.9,9,13,55,초급,7130
영업,5,학사,선임,73.0,7,6,17,고급,5395
영업,13,학사,책임,73.1,13,5,94,중급,7640
마케팅,9,고졸,선임,81.2,5,12,47,고급,5064
경영지원,8,고졸,선임,88.6,14,,19,고급,5658
마케팅,10,석사,선임,96.3,19,8,32,중급,6042
경영지원,13,고졸,책임,60.5,18,6,91,중급,6313
마케팅,2,박사,사원,81.8,3,11,64,초급,5648
마케팅,6,학사,선임,85.3,17,2,23,고급,5928
마케팅,9,학사,선임,75.8,11,15,100,고급,6112
경영지원,19,석사,수석,83.5,5,9,50,초급,8791
연구개발,11,학사,선임,71.0,1,11,56,초급,6607
연구개발,1,석사,사원,79.6,21,5,41,초급,5508
영업,0,고졸,사원,88.6,10,15,84,중급,3665
경영지원,23,박사,수석,91.2,9,7,37,고급,10806
영업,24,석사,수석,72.5,9,13,48,중급,9525
연구개발,25,고졸,수석,100.0,18,4,57,초급,9295
경영지원,11,학사,책임,72.8,9,14,65,초급,6893
경영지원,20,학사,수석,86.4,,14,89,초급,9793
,23,학사,선임,69.9,10,5,74,초급,7988
연구개발,16,학사,책임,73.9,3,0,92,초급,8239
영업,12,학사,책임,81.5,10,3,93,고급,7433
마케팅,5,박사,선임,73.1,16,3,87,고급,6050
경영지원,17,박사,수석,100.0,6,4,89,초급,9256
경영지원,23,학사,수석,70.4,11,6,27,중급,8923
영업,17,학사,사원,92.3,13,8,20,중급,7180
마케팅,16,학사,책임,83.5,1,9,67,고급,7947
경영지원,20,학사,수석,92.2,,4,33,중급,9364
영업,2,고졸,사원,90.0,19,10,42,고급,4038
경영지원,4,학사,사원,,16,6,41,초급,4007
영업,1,학사,사원,84.4,13,10,66,초급,4625
연구개발,3,학사,사원,86.0,8,5,49,중급,5612
마케팅,17,석사,사원,69.5,9,1,49,고급,8948
마케팅,14,학사,수석,64.6,3,1,68,고급,7676
경영지원,22,박사,수석,87.7,2,5,27,고급,9621
마케팅,8,,,84.0,18,13,37,중급,6163
경영지원,17,석사,책임,76.1,19,12,100,고급,7845
영업,2,학사,사원,91.3,1,14,15,중급,4395
영업,24,고졸,수석,84.0,12,7,51,초급,8659
영업,11,,책임,78.5,,12,42,고급,6779
경영지원,2,학사,사원,74.4,5,9,95,고급,4556
영업,13,학사,,76.3,14,11,29,초급,7805
영업,12,고졸,책임,66.5,18,2,31,초급,6275
마케팅,8,학사,선임,100.0,20,0,81,고급,6443
마케팅,3,학사,사원,100.0,1,14,42,초급,3917
연구개발,18,학사,수석,78.0,20,12,94,초급,8516
경영지원,10,학사,선임,88.2,21,6,13,초급,6208
마케팅,23,박사,수석,72.4,4,2,76,초급,9217
연구개발,16,학사,책임,79.4,15,7,85,초급,7818
영업,16,학사,책임,67.4,10,12,43,초급,7969
,20,학사,수석,87.4,3,14,12,고급,9056
연구개발,12,학사,책임,94.1,18,6,94,고급,6463
영업,5,학사,선임,74.4,18,8,18,고급,6047
경영지원,6,석사,선임,62.5,3,1,49,고급,6561
영업,16,박사,책임,58.0,5,0,29,초급,8505
연구개발,22,학사,사원,78.2,,3,35,초급,7490
마케팅,3,박사,사원,66.5,1,13,67,초급,5448
경영지원,24,학사,,74.0,3,14,73,초급,8627
영업,13,학사,사원,85.4,5,1,64,중급,6420
연구개발,12,고졸,책임,72.6,6,10,66,초급,6343
영업,9,고졸,수석,68.1,4,12,66,초급,7179
연구개발,6,학사,선임,70.1,18,7,24,초급,5595
영업,6,학사,선임,77.4,17,13,65,중급,4926
연구개발,3,박사,사원,84.4,7,0,73,고급,6287
경영지원,8,고졸,선임,71.8,17,3,79,중급,5329
영업,13,석사,책임,93.6,15,15,30,고급,7361
경영지원,0,석사,사원,72.6,10,2,72,고급,5682
경영지원,16,고졸,책임,89.3,11,15,34,초급,8337
마케팅,21,석사,수석,89.9,2,2,96,초급,8646
연구개발,15,석사,수석,77.6,20,4,45,중급,8817
연구개발,1,학사,사원,58.8,13,11,10,고급,4634
영업,12,학사,책임,65.9,8,3,75,고급,7528
경영지원,4,학사,사원,74.2,19,15,31,고급,5423
경영지원,2,학사,사원,72.5,10,7,38,고급,4831
연구개발,14,학사,책임,67.3,5,11,20,초급,7576
연구개발,20,학사,수석,58.0,4,2,55,중급,9197
마케팅,7,학사,책임,58.0,10,,10,고급,5963
연구개발,0,석사,사원,73.2,21,4,26,고급,4149
마케팅,18,석사,수석,86.6,17,15,8,초급,8511
,17,고졸,책임,74.6,6,3,43,중급,6585
마케팅,13,석사,책임,83.7,6,2,27,초급,7445
영업,9,학사,선임,60.0,17,3,81,고급,6482
영업,5,박사,선임,86.5,7,4,61,중급,6642
영업,25,석사,선임,85.1,10,9,47,초급,9467
