job_type,year_income_manwon,credit_point,loan_reason,loan_manwon,debt_ratio,job_years,house_type,past_overdue,approved
계약직,13840,443,그외,663,,15,전세,있음,1
자영업,,607,사업,536,212.7,4,월세,없음,1
계약직,8580,473,주택,8401,299.5,18,월세,없음,1
정규직,,300,,2612,196.7,30,전세,없음,0
정규직,,676,생활,4523,181.9,30,전세,없음,1
자영업,9042,785,그외,5561,405.7,29,월세,없음,1
미취업,18519,901,사업,6073,76.7,18,자가,없음,1
정규직,8320,894,사업,154,231.8,14,자가,없음,1
정규직,3878,829,주택,5075,,20,월세,,1
정규직,1966,943,주택,1585,162.6,16,,있음,1
정규직,17491,680,생활,4497,1.0,18,전세,없음,1
자영업,12648,645,생활,2954,162.1,8,월세,있음,1
계약직,12628,492,생활,1360,436.6,3,월세,있음,0
정규직,13782,751,주택,3021,202.7,22,자가,있음,1
계약직,8398,590,생활,4005,60.4,27,자가,없음,1
자영업,2020,551,주택,2047,1.0,31,월세,없음,1
자영업,8830,779,사업,294,329.8,4,자가,없음,1
미취업,4483,618,그외,2499,438.4,25,,없음,1
계약직,,772,생활,5236,170.7,22,자가,없음,1
정규직,15874,830,주택,,226.0,19,전세,없음,1
정규직,19714,643,그외,2635,248.7,7,월세,없음,1
미취업,5298,742,주택,8894,417.0,22,전세,,1
정규직,13341,642,주택,10089,193.2,2,전세,없음,1
자영업,3793,356,사업,453,30.9,0,월세,없음,1
미취업,18255,440,사업,1092,1.0,20,월세,없음,1
정규직,7027,446,주택,1402,210.7,5,자가,없음,1
자영업,4797,300,사업,8852,441.4,25,월세,없음,0
미취업,10272,837,생활,5321,230.1,27,월세,없음,1
정규직,5720,561,주택,7756,172.9,11,월세,없음,0
자영업,10507,764,사업,9394,410.6,21,자가,없음,1
자영업,19043,650,생활,9290,190.7,24,전세,없음,1
계약직,10114,489,주택,2908,1.0,18,월세,없음,1
자영업,2765,441,주택,4221,263.2,15,월세,없음,0
자영업,3852,390,생활,4076,196.8,30,자가,없음,1
정규직,17547,717,그외,6611,293.2,9,월세,없음,1
자영업,18397,956,그외,1943,265.5,,월세,없음,1
정규직,11024,300,주택,3135,131.7,27,월세,있음,1
자영업,11629,550,그외,1506,48.3,20,자가,없음,1
자영업,19660,764,주택,6512,122.3,14,전세,없음,1
정규직,2937,695,사업,6443,194.3,24,전세,있음,1
계약직,16088,386,생활,3720,159.7,7,자가,없음,1
자영업,10340,553,생활,2974,390.8,11,자가,없음,1
정규직,9172,665,주택,4961,240.7,6,월세,있음,1
정규직,19090,615,사업,4384,235.6,13,자가,없음,1
계약직,14738,,그외,804,487.0,8,월세,있음,1
정규직,9711,946,주택,10132,303.8,2,전세,없음,1
계약직,8386,812,,6810,256.3,9,월세,있음,1
자영업,5127,844,주택,2281,394.8,4,월세,없음,1
자영업,14109,790,사업,4612,379.2,20,월세,있음,1
자영업,5861,857,그외,4988,97.8,22,자가,없음,1
계약직,15160,547,사업,8319,102.3,27,전세,없음,1
계약직,5334,592,주택,9274,23.2,19,전세,없음,1
계약직,9073,888,생활,7553,418.5,31,월세,없음,1
정규직,16879,486,생활,8280,88.8,26,월세,없음,1
자영업,13003,832,생활,4798,287.8,8,월세,없음,1
자영업,10529,809,그외,950,520.0,26,월세,없음,0
미취업,13576,621,주택,10118,259.5,28,전세,없음,1
계약직,19052,751,주택,10060,172.5,13,전세,없음,1
미취업,17077,550,사업,6968,419.6,2,월세,없음,0
자영업,8524,406,그외,7999,298.0,10,전세,있음,1
계약직,9101,370,생활,2674,325.4,10,월세,없음,1
정규직,9130,594,그외,4213,219.9,1,전세,없음,1
계약직,4119,375,생활,2546,278.1,5,자가,없음,1
,2372,1000,생활,8104,410.0,31,월세,있음,1
자영업,8361,514,생활,2737,159.4,23,자가,없음,1
정규직,15991,549,그외,6320,329.9,10,전세,없음,1
정규직,12010,536,사업,3838,356.4,7,자가,없음,1
정규직,17977,891,사업,2216,167.0,7,월세,없음,1
미취업,7529,477,사업,8556,116.8,22,자가,없음,1
정규직,2701,596,생활,6850,94.2,12,월세,없음,1
자영업,9086,391,그외,813,123.0,17,자가,있음,1
정규직,14578,616,그외,10060,1.0,3,자가,없음,1
계약직,3637,858,생활,3071,39.3,21,전세,없음,1
자영업,10016,825,주택,1314,373.8,6,전세,있음,1
정규직,18822,644,사업,4914,209.8,24,월세,없음,0
계약직,14140,816,,,329.7,27,자가,없음,1
정규직,13509,773,그외,2316,164.0,6,월세,없음,1
계약직,14155,385,주택,2723,74.1,6,자가,있음,1
정규직,2782,654,그외,6838,228.4,0,전세,없음,1
정규직,2012,,생활,7166,289.3,15,월세,없음,1
정규직,2067,541,생활,10192,415.3,6,월세,있음,1
계약직,14118,748,주택,3043,300.3,5,자가,없음,1
자영업,,300,주택,8812,342.6,31,전세,있음,1
정규직,9080,507,사업,,281.2,0,자가,있음,0
정규직,19696,450,주택,2662,520.0,19,전세,없음,0
정규직,,688,생활,6034,419.9,19,월세,없음,1
계약직,6690,768,그외,8537,520.0,18,월세,없음,1
정규직,2419,601,그외,1259,64.0,22,월세,없음,1
자영업,9003,660,그외,9041,380.9,8,월세,없음,1
정규직,13315,648,그외,3916,141.5,23,월세,,1
계약직,15314,348,사업,2109,376.9,0,자가,없음,1
정규직,18830,445,그외,5558,229.8,26,자가,없음,1
미취업,16301,879,주택,6846,310.7,19,월세,있음,1
계약직,5851,400,사업,1987,94.6,12,자가,없음,1
정규직,12382,622,생활,397,311.2,14,,있음,0
정규직,18445,633,그외,6202,314.5,3,자가,있음,1
미취업,13209,706,주택,9253,1.0,2,전세,,1
자영업,7392,,주택,5951,128.3,18,자가,있음,1
계약직,3954,375,사업,7557,215.3,23,자가,없음,1
정규직,5321,408,주택,7743,,12,자가,있음,1
정규직,,763,사업,7529,237.7,7,전세,있음,1
자영업,2460,759,그외,4899,103.1,0,자가,없음,1
계약직,6739,410,사업,5683,520.0,,자가,없음,0
계약직,7149,593,그외,4945,502.8,5,자가,있음,0
정규직,13386,977,그외,8942,139.7,30,자가,없음,1
계약직,7264,842,사업,2661,,7,월세,없음,1
정규직,11322,300,사업,2753,302.1,23,자가,없음,1
자영업,12209,506,그외,286,152.0,10,전세,없음,1
자영업,13727,848,사업,9687,81.8,,전세,있음,1
계약직,6207,518,생활,9989,319.7,7,자가,없음,1
계약직,12808,935,사업,1568,,15,자가,없음,1
자영업,18656,326,사업,1765,416.4,2,월세,없음,1
정규직,11272,842,사업,3124,266.2,7,,있음,1
자영업,6202,633,그외,9042,345.4,10,월세,없음,1
미취업,13744,809,생활,10044,337.0,10,월세,없음,1
자영업,12826,730,주택,3413,273.0,18,월세,없음,1
계약직,12366,667,생활,106,457.5,4,전세,없음,1
계약직,9087,574,사업,9051,100.6,28,전세,없음,1
정규직,13711,605,그외,2259,348.7,12,자가,없음,1
자영업,16422,1000,사업,205,70.3,19,전세,,1
자영업,4918,623,그외,1366,242.3,5,전세,있음,1
자영업,10015,561,생활,8285,100.3,23,전세,없음,1
계약직,10681,630,,8601,92.7,16,자가,있음,1
미취업,16874,739,생활,976,113.6,20,전세,없음,1
자영업,4594,446,사업,3906,520.0,22,자가,없음,1
정규직,8559,1000,그외,1761,282.7,29,월세,없음,1
자영업,19145,437,그외,9915,,14,자가,있음,1
계약직,4215,474,그외,1354,185.9,19,자가,있음,1
정규직,5582,769,그외,,170.4,25,전세,있음,1
계약직,20122,852,그외,1725,378.3,25,전세,없음,1
정규직,9968,482,그외,1199,512.9,,전세,없음,1
계약직,,821,주택,9949,205.7,,전세,없음,1
정규직,7316,300,사업,2973,241.3,9,자가,없음,1
자영업,6360,804,그외,3366,236.1,0,,없음,1
정규직,3207,929,주택,3855,119.5,12,전세,없음,1
정규직,,587,생활,6116,249.4,18,자가,있음,1
정규직,8873,427,그외,1736,194.0,15,월세,없음,1
계약직,15638,1000,그외,7365,292.6,0,자가,있음,1
정규직,5057,794,생활,6808,277.9,25,월세,없음,1
자영업,11078,889,사업,3789,284.1,25,전세,없음,1
정규직,18436,300,그외,2499,290.8,31,월세,없음,1
정규직,19538,666,그외,5904,154.3,14,월세,없음,1
정규직,8216,570,사업,2358,264.6,10,월세,없음,1
미취업,14931,713,생활,1570,420.1,18,,없음,0
계약직,19266,773,주택,1183,476.1,4,자가,없음,1
자영업,17187,680,생활,5146,252.3,29,월세,있음,1
계약직,13738,1000,주택,1459,76.7,6,자가,있음,1
정규직,18480,539,사업,8688,46.1,3,전세,없음,1
미취업,15664,443,사업,5624,278.0,23,월세,없음,1
미취업,8508,679,주택,4338,183.3,0,자가,없음,1
정규직,9462,368,사업,,374.5,24,자가,있음,0
정규직,20326,643,그외,7867,411.5,11,전세,없음,1
정규직,4884,838,그외,565,154.8,27,전세,없음,1
자영업,8223,731,,8062,338.6,8,월세,있음,1
정규직,4522,578,그외,8863,394.9,17,월세,없음,1
계약직,8066,518,생활,6950,423.3,8,,없음,1
자영업,8283,582,주택,8963,122.1,18,자가,있음,1
정규직,3888,973,주택,4681,363.9,17,자가,없음,1
자영업,17791,630,사업,9761,35.7,6,자가,없음,1
계약직,15826,312,생활,4378,445.2,15,자가,없음,0
자영업,4482,884,생활,,202.4,20,전세,없음,1
정규직,9808,966,사업,8884,274.2,31,전세,없음,1
정규직,7728,300,생활,7673,176.2,0,전세,없음,1
정규직,15682,662,그외,3018,100.0,1,,없음,1
정규직,11792,666,생활,6140,135.2,2,전세,없음,1
정규직,15935,304,생활,424,,25,월세,있음,0
,3220,899,생활,2201,389.1,2,월세,없음,1
미취업,11951,628,사업,674,199.2,20,전세,없음,1
정규직,9444,754,그외,4022,89.9,24,월세,없음,1
정규직,17763,540,사업,9841,117.9,28,자가,없음,1
정규직,14600,300,그외,3441,325.1,11,월세,없음,1
계약직,19356,657,그외,6391,153.1,9,자가,없음,1
자영업,8545,828,사업,1206,129.0,23,월세,있음,1
정규직,14154,850,사업,1329,400.1,14,전세,없음,1
계약직,17520,745,주택,4683,1.0,24,자가,있음,1
계약직,19992,695,그외,5351,283.5,20,전세,없음,1
정규직,17484,685,사업,7181,490.9,21,자가,없음,1
계약직,5536,,생활,7948,404.0,,자가,없음,1
미취업,12094,516,사업,8416,217.4,17,자가,없음,1
미취업,10470,883,생활,2378,333.1,15,월세,없음,1
자영업,3534,378,그외,9958,264.3,15,자가,있음,1
자영업,12791,991,주택,4024,356.2,23,자가,없음,1
정규직,7567,,주택,576,302.5,13,전세,없음,1
계약직,4253,755,사업,1461,184.1,6,전세,없음,1
미취업,8259,864,생활,3265,398.7,4,전세,없음,1
정규직,12867,874,주택,587,419.0,9,자가,없음,1
정규직,5632,714,생활,8558,241.6,25,전세,없음,1
자영업,16491,778,사업,174,46.1,12,자가,없음,1
계약직,16737,498,그외,8966,242.3,14,월세,없음,1
정규직,9126,300,그외,1658,349.8,,자가,없음,0
정규직,14607,753,주택,4532,1.0,20,전세,있음,1
정규직,6157,1000,생활,8427,447.9,31,자가,있음,1
정규직,5361,380,주택,5084,412.5,12,자가,없음,1
자영업,9014,855,주택,4021,75.7,26,,있음,1
정규직,12555,,사업,684,127.6,19,자가,없음,1
자영업,12393,400,그외,2848,130.0,26,월세,,1
자영업,16116,496,그외,2551,66.0,28,자가,없음,1
정규직,13108,851,사업,896,107.8,16,자가,없음,1
자영업,18521,843,생활,6678,353.7,,월세,없음,1
정규직,19820,691,주택,6106,,9,월세,없음,1
,7689,462,사업,7301,1.0,18,자가,없음,1
미취업,10366,437,사업,384,,17,월세,,1
정규직,,791,주택,3942,414.5,23,월세,없음,1
정규직,9230,690,그외,1778,35.7,16,월세,없음,1
정규직,8438,505,그외,1376,109.8,26,전세,없음,1
미취업,7095,492,생활,8501,258.3,7,전세,없음,1
계약직,3013,300,그외,6970,170.0,16,월세,없음,1
정규직,14124,946,그외,4651,,31,월세,있음,1
미취업,20383,1000,주택,5939,285.2,2,자가,없음,1
계약직,11610,832,생활,9329,233.3,23,자가,없음,1
자영업,18702,643,주택,5299,146.4,9,월세,없음,1
정규직,18963,362,사업,3790,457.2,30,월세,없음,1
정규직,12467,950,그외,7269,333.2,29,,없음,1
정규직,2151,300,그외,672,468.7,5,자가,없음,0
자영업,14055,682,주택,,173.5,8,전세,없음,1
미취업,6658,631,그외,3829,274.9,13,월세,없음,1
정규직,9305,523,,2224,266.4,20,자가,없음,1
정규직,18587,,사업,8256,303.2,24,전세,있음,0
정규직,17335,1000,그외,5000,310.2,4,자가,없음,1
미취업,8782,589,그외,4218,275.5,17,자가,없음,1
자영업,16560,538,사업,4080,422.2,27,월세,없음,1
계약직,20390,923,주택,2441,345.6,14,월세,없음,1
자영업,20217,871,생활,6161,175.3,30,자가,없음,1
정규직,1967,704,사업,1497,384.0,15,월세,없음,1
계약직,17374,300,생활,8971,296.0,9,전세,있음,1
,15149,799,주택,5784,418.7,29,월세,있음,0
정규직,14563,949,사업,2107,520.0,28,월세,없음,1
정규직,16980,457,생활,5965,211.5,31,월세,있음,1
정규직,20169,809,주택,2124,301.4,15,월세,있음,1
자영업,18778,639,주택,3773,287.5,12,,없음,1
자영업,17400,536,그외,3038,506.4,3,자가,없음,1
정규직,2569,,생활,5867,161.8,22,전세,없음,0
자영업,19762,1000,주택,3083,95.0,11,전세,있음,1
계약직,18551,300,그외,,177.8,29,자가,없음,1
자영업,17255,846,생활,2765,143.4,16,월세,있음,1
정규직,8515,304,사업,5212,221.3,26,월세,없음,0
정규직,9477,573,생활,6127,287.2,22,자가,없음,1
정규직,7512,565,주택,1764,118.7,3,전세,없음,1
계약직,5273,454,주택,9438,337.0,22,전세,있음,1
계약직,19791,871,생활,445,303.6,23,자가,,1
정규직,12541,453,그외,4578,394.7,12,자가,없음,1
정규직,10784,1000,,3351,332.1,2,자가,없음,1
정규직,7590,926,생활,8263,264.0,6,자가,없음,1
자영업,15180,682,사업,3013,217.0,24,자가,없음,1
자영업,14884,866,주택,3813,197.9,27,월세,있음,1
미취업,12877,954,그외,1746,295.8,25,월세,있음,1
계약직,16329,749,사업,1729,16.8,14,월세,없음,1
,17827,,생활,5406,118.8,22,전세,없음,1
정규직,14671,493,,4814,1.0,22,월세,없음,1
정규직,8458,919,그외,1280,228.5,14,전세,없음,1
정규직,5794,313,주택,7581,71.2,25,자가,있음,1
정규직,20455,696,생활,10147,374.6,23,전세,있음,1
미취업,14410,661,주택,9787,284.4,7,월세,없음,1
자영업,,638,그외,2496,1.0,16,전세,있음,0
자영업,4574,537,그외,1936,247.4,1,,없음,1
미취업,15044,698,생활,7348,302.8,17,전세,없음,0
정규직,15308,614,주택,3351,188.6,24,월세,,1
정규직,14557,984,생활,2286,124.9,16,자가,없음,1
정규직,12575,956,주택,5634,206.2,12,자가,없음,1
자영업,19961,971,사업,2447,409.9,15,자가,있음,1
정규직,12977,595,그외,6448,1.0,10,월세,없음,1
정규직,5415,475,주택,1309,215.1,6,월세,없음,1
정규직,14938,811,사업,1973,,22,전세,있음,1
정규직,5742,392,그외,5810,214.0,28,월세,없음,1
정규직,7879,834,그외,3288,520.0,27,월세,없음,1
정규직,17224,953,생활,5812,,0,전세,있음,1
자영업,4822,680,생활,7596,187.0,1,전세,있음,1
자영업,3671,657,사업,143,92.2,15,월세,없음,1
정규직,9137,595,주택,3036,156.9,7,월세,없음,1
계약직,19807,1000,사업,2679,20.0,25,자가,없음,1
정규직,14760,709,주택,513,1.0,27,전세,,1
정규직,15713,612,주택,9441,366.9,17,전세,없음,0
자영업,16484,757,그외,2822,263.2,2,월세,없음,1
정규직,8097,565,사업,9212,266.3,18,자가,없음,1
정규직,4162,964,그외,8638,119.2,4,전세,있음,1
정규직,14120,713,사업,9441,82.4,1,월세,없음,1
정규직,2723,757,생활,7072,250.0,12,전세,없음,1
자영업,2650,446,그외,3069,2.0,27,자가,있음,1
정규직,16849,872,생활,5595,346.4,,월세,없음,1
정규직,2233,440,사업,3250,151.6,15,자가,없음,1
정규직,9179,552,생활,8034,90.8,20,전세,없음,1
정규직,20355,917,생활,363,264.7,11,전세,없음,1
미취업,10919,734,생활,2882,125.1,22,월세,없음,1
계약직,16443,649,그외,3190,128.0,1,월세,,0
정규직,10426,935,그외,3642,253.1,15,자가,없음,1
계약직,11584,651,생활,8231,420.1,27,전세,없음,0
자영업,20276,300,,1300,258.9,3,자가,있음,0
자영업,3596,414,주택,3218,305.4,26,월세,있음,1
정규직,18739,485,생활,3996,,23,자가,있음,1
,12206,725,그외,9811,1.0,5,월세,없음,1
계약직,5583,743,주택,,285.4,9,월세,없음,1
미취업,,446,주택,135,359.4,10,월세,있음,0
자영업,12083,721,생활,5417,399.2,0,월세,없음,1
정규직,2159,762,사업,8079,490.8,21,월세,있음,0
정규직,16120,478,그외,8272,223.5,28,,없음,1
정규직,7050,300,주택,4942,222.8,20,자가,,0
계약직,4045,1000,사업,8044,220.9,13,월세,없음,1
자영업,16579,,생활,,167.3,29,,없음,1
계약직,6678,724,그외,3454,150.5,27,자가,없음,1
정규직,9219,621,생활,3334,514.3,13,전세,있음,1
정규직,11851,701,생활,4753,183.0,11,월세,있음,1
정규직,5436,339,사업,2559,238.7,27,월세,있음,0
정규직,11339,936,생활,2690,388.1,21,전세,없음,1
정규직,19287,568,그외,898,232.4,23,전세,없음,1
정규직,4318,898,주택,6030,520.0,7,전세,있음,1
정규직,4400,320,주택,4315,112.4,19,자가,없음,1
자영업,19081,654,사업,4035,168.2,0,전세,있음,1
,10101,934,주택,5157,260.1,24,월세,없음,1
정규직,15799,671,그외,399,209.8,24,자가,없음,1
정규직,3067,606,사업,1008,303.0,11,월세,없음,1
정규직,20394,835,생활,3414,317.5,23,월세,없음,1
정규직,17382,706,그외,4449,139.3,10,월세,없음,1
자영업,14495,730,사업,10198,336.3,16,전세,없음,1
정규직,11732,606,,5611,186.8,5,전세,없음,1
자영업,17969,300,그외,9781,418.2,24,월세,있음,1
미취업,7976,300,그외,9928,79.9,12,자가,없음,1
,11097,,생활,7420,242.2,13,전세,없음,1
계약직,4957,801,그외,218,369.4,3,월세,없음,1
미취업,4829,,생활,4794,267.1,6,전세,없음,1
정규직,8629,,사업,6169,386.2,3,월세,없음,1
자영업,7937,904,그외,2685,305.5,30,전세,없음,1
정규직,19669,617,사업,6100,307.4,7,전세,없음,1
자영업,7055,868,그외,2781,352.6,6,월세,없음,1
정규직,7624,922,생활,2970,207.1,15,전세,없음,1
정규직,7751,754,사업,2681,1.0,6,전세,없음,1
계약직,17901,665,그외,7302,326.2,22,전세,없음,1
미취업,4467,690,사업,8299,420.3,22,월세,없음,0
자영업,17007,408,사업,1505,205.7,29,월세,없음,1
자영업,7148,577,생활,3499,187.6,31,전세,없음,1
계약직,14576,844,생활,5064,287.7,1,전세,없음,1
정규직,15536,485,그외,8401,377.7,28,전세,없음,1
계약직,2923,567,그외,8022,407.9,21,전세,없음,1
정규직,5451,631,그외,3936,287.4,5,전세,없음,1
계약직,10277,970,주택,5164,188.6,10,자가,없음,1
정규직,15207,960,주택,6576,306.4,25,전세,없음,1
정규직,14603,690,그외,5620,159.1,5,전세,있음,1
계약직,16257,537,생활,4309,231.9,,월세,없음,1
자영업,5203,398,생활,3747,460.0,25,월세,없음,1
미취업,2570,564,그외,4069,361.2,3,자가,없음,1
,9848,435,생활,2933,208.0,15,,있음,1
자영업,8586,671,생활,1327,326.5,14,월세,없음,1
정규직,5205,657,사업,990,251.2,10,월세,없음,1
정규직,13299,458,생활,6294,141.6,14,자가,없음,1
,,745,생활,8533,,0,월세,없음,1
정규직,4977,702,그외,9548,193.9,31,자가,없음,1
정규직,4024,689,생활,1998,520.0,30,자가,없음,1
자영업,19484,587,그외,4575,322.5,23,전세,없음,1
미취업,8740,481,그외,7579,282.4,22,자가,없음,1
자영업,10650,601,그외,2541,160.5,0,자가,없음,1
정규직,5340,880,,1815,520.0,17,자가,없음,1
정규직,18190,572,생활,5372,443.7,13,전세,있음,1
자영업,12220,564,생활,7390,334.2,27,월세,없음,1
정규직,11360,886,그외,3052,520.0,30,전세,없음,1
자영업,10741,854,주택,4338,315.1,28,전세,없음,1
계약직,8517,767,생활,2644,1.0,16,전세,있음,1
,13792,619,사업,7236,147.1,31,전세,있음,1
정규직,7357,843,그외,4280,439.0,15,전세,없음,1
계약직,2353,340,사업,4282,158.6,31,자가,있음,0
자영업,4084,729,주택,8563,390.5,5,자가,있음,1
자영업,2688,628,주택,5650,221.5,18,자가,,1
계약직,19975,1000,그외,563,261.0,26,월세,없음,1
정규직,13708,375,주택,1916,90.3,18,자가,없음,1
정규직,14607,623,사업,5421,10.1,16,전세,없음,1
미취업,13638,452,주택,3722,410.6,12,자가,없음,0
자영업,3989,776,생활,,403.3,3,자가,없음,1
미취업,2802,635,사업,6807,112.3,,월세,없음,1
계약직,14308,620,주택,854,125.9,,전세,없음,1
계약직,10276,555,주택,938,292.0,7,전세,없음,1
자영업,18575,406,사업,3632,84.5,,,있음,1
계약직,16948,458,주택,6068,257.7,26,전세,없음,1
정규직,5264,935,사업,4095,219.4,1,자가,없음,1
자영업,19713,921,생활,4169,278.8,22,월세,없음,1
미취업,18268,610,생활,3864,34.7,9,자가,없음,1
자영업,8618,739,사업,3874,321.8,5,월세,있음,1
계약직,10727,300,그외,2153,326.7,20,자가,있음,1
정규직,20142,724,그외,1792,171.0,30,월세,없음,1
정규직,5668,609,그외,839,284.0,6,자가,있음,1
정규직,7845,456,생활,6779,347.0,5,자가,없음,1
,16340,786,그외,6136,451.4,31,전세,있음,1
계약직,20133,603,생활,1317,374.3,23,전세,없음,1
계약직,19903,883,주택,5075,404.3,,월세,없음,1
자영업,10691,,생활,252,140.8,,월세,없음,1
정규직,17346,605,그외,2111,106.1,17,전세,없음,1
계약직,7844,450,사업,1733,174.1,2,월세,있음,1
자영업,,852,그외,7383,269.6,15,자가,없음,1
자영업,6989,748,주택,3179,221.7,18,전세,있음,1
정규직,19528,556,생활,7940,71.2,22,자가,없음,1
미취업,10270,300,사업,3795,79.7,29,전세,없음,1
정규직,6397,589,주택,3997,136.4,31,월세,없음,1
자영업,18815,962,사업,3041,462.3,28,자가,없음,1
자영업,20496,1000,그외,,95.6,1,자가,없음,1
정규직,14971,537,주택,5724,386.4,8,월세,없음,1
자영업,19056,754,주택,3364,23.6,10,월세,없음,1
미취업,8298,380,그외,6891,357.3,10,자가,없음,0
자영업,12170,474,그외,7207,208.4,28,전세,없음,1
정규직,7456,373,생활,1430,212.9,,자가,없음,0
,9605,,주택,4194,151.2,21,,없음,1
미취업,2465,655,생활,4806,221.5,23,자가,없음,1
계약직,12778,494,,7434,363.8,8,전세,있음,0
계약직,7815,649,주택,8625,26.4,26,전세,없음,1
계약직,9161,680,그외,806,54.9,0,월세,있음,1
정규직,20271,646,주택,8118,181.5,18,전세,있음,1
자영업,12203,564,주택,2140,120.5,23,월세,없음,1
정규직,12837,730,그외,310,194.8,16,자가,없음,1
정규직,13007,860,그외,5856,255.6,,전세,없음,1
정규직,12938,1000,생활,6264,298.0,19,전세,없음,1
미취업,17556,354,주택,10037,270.0,5,,있음,0
계약직,18304,445,주택,643,349.3,14,전세,없음,1
정규직,14972,415,사업,5894,,31,전세,없음,1
계약직,20200,888,생활,3135,199.9,0,월세,없음,0
정규직,18124,949,그외,477,244.5,11,전세,없음,1
계약직,8086,929,생활,7103,244.7,14,월세,없음,1
미취업,8524,928,주택,7179,290.0,24,전세,없음,1
자영업,,645,사업,1582,334.0,26,전세,있음,0
정규직,3010,474,생활,8893,258.4,6,자가,없음,1
미취업,6089,300,주택,6888,20.3,6,전세,없음,1
미취업,4639,451,그외,7155,88.1,18,자가,없음,1
정규직,6747,510,그외,4614,245.8,30,전세,있음,1
정규직,10856,791,사업,9518,183.0,1,전세,없음,1
미취업,20229,674,생활,1332,167.2,5,전세,있음,1
계약직,5804,300,그외,8425,172.2,24,월세,있음,1
자영업,2368,764,사업,6687,209.4,27,전세,없음,1
정규직,9287,844,주택,6974,1.0,10,자가,없음,1
정규직,14903,789,그외,9280,361.2,18,,없음,1
정규직,11225,799,그외,1423,185.5,10,월세,있음,1
정규직,11236,462,생활,7424,51.5,21,전세,있음,1
계약직,5063,706,주택,6192,129.3,8,월세,있음,1
정규직,14627,370,,1730,354.5,0,월세,있음,0
계약직,20115,467,사업,6192,390.8,27,자가,없음,0
정규직,5403,1000,주택,9185,1.0,20,전세,없음,1
자영업,2580,392,생활,4859,113.1,26,자가,있음,1
자영업,12699,594,사업,5920,448.8,16,전세,있음,0
계약직,6488,686,그외,8463,204.6,,월세,없음,1
정규직,11328,849,생활,3010,224.5,3,자가,없음,1
정규직,13794,775,그외,5757,218.2,10,월세,있음,1
자영업,6086,497,사업,5883,193.9,,자가,있음,1
정규직,15824,768,주택,8936,203.8,13,자가,없음,1
정규직,8104,507,주택,6658,46.6,9,전세,있음,1
자영업,10782,394,주택,8942,210.3,19,자가,없음,1
,10019,727,주택,7526,336.0,5,,있음,0
정규직,,475,생활,8148,514.7,21,전세,없음,1
정규직,19034,416,그외,2632,247.0,18,월세,없음,1
,,582,생활,1794,181.0,7,전세,없음,1
정규직,14480,313,주택,2286,256.6,9,자가,없음,1
정규직,5067,852,사업,2693,,0,전세,있음,1
,15616,658,주택,4036,237.3,21,자가,없음,0
계약직,9346,681,주택,8653,316.5,15,자가,없음,1
미취업,7154,931,사업,562,331.0,3,자가,없음,1
자영업,16014,687,주택,6816,369.8,1,월세,있음,1
정규직,11551,719,,5866,245.4,27,월세,,1
계약직,,736,사업,8409,76.0,17,월세,없음,1
미취업,19819,773,사업,8879,281.0,16,전세,없음,1
자영업,17255,748,사업,7494,329.8,5,전세,있음,0
계약직,17701,659,그외,9021,220.7,2,월세,없음,1
자영업,6661,772,그외,3381,281.2,2,자가,없음,1
계약직,7537,,주택,2472,1.0,6,자가,없음,1
계약직,19680,746,사업,,304.0,10,전세,없음,1
자영업,5662,857,주택,8389,340.9,6,월세,없음,1
자영업,16408,689,생활,9217,222.6,23,월세,없음,1
정규직,13451,696,생활,180,384.4,5,월세,,1
정규직,19205,532,그외,4574,213.6,4,월세,없음,1
정규직,19518,336,생활,9390,16.1,28,월세,없음,1
정규직,19049,644,사업,9840,161.3,12,전세,없음,1
자영업,6927,389,생활,2264,260.6,21,월세,없음,1
계약직,10657,817,그외,8168,419.1,6,전세,없음,1
미취업,3802,,사업,2555,174.7,19,전세,없음,1
정규직,13782,754,사업,7262,205.2,16,월세,있음,1
정규직,5957,646,,4859,520.0,8,자가,,1
정규직,16217,528,생활,2996,188.2,6,전세,없음,1
계약직,8738,612,생활,1888,131.0,27,전세,없음,1
정규직,6532,919,주택,3973,208.1,15,전세,있음,1
계약직,5025,673,그외,2566,371.9,5,전세,없음,1
정규직,19471,1000,생활,6081,66.5,1,자가,없음,1
자영업,12195,607,생활,6188,119.4,24,자가,없음,1
정규직,20180,953,생활,9091,100.4,18,자가,없음,1
자영업,13698,607,사업,9575,90.8,18,월세,없음,1
정규직,13555,1000,사업,2557,483.6,3,월세,있음,1
계약직,11423,423,사업,4258,161.2,11,월세,있음,1
계약직,4599,671,그외,734,280.7,26,자가,있음,1
계약직,16509,1000,주택,9458,221.2,21,전세,있음,1
정규직,15605,1000,생활,9844,281.8,29,자가,있음,1
계약직,,920,그외,1786,355.5,1,자가,없음,1
,17293,1000,생활,8674,36.6,24,자가,있음,1
정규직,11658,858,생활,1040,424.7,13,자가,없음,1
자영업,18569,768,주택,9875,1.0,17,전세,없음,1
자영업,4102,669,생활,4941,257.9,13,월세,있음,1
계약직,15899,463,사업,4181,199.3,19,전세,없음,1
정규직,10510,432,주택,,450.0,1,월세,없음,1
자영업,7004,343,생활,1101,176.2,29,전세,없음,1
정규직,10647,786,생활,1646,520.0,,월세,없음,1
정규직,10112,722,그외,9198,341.3,9,전세,없음,1
계약직,8814,521,주택,7031,217.5,31,자가,있음,0
